C	area	va	hourly
	VARIABLES	BEGIN	END
	122	1	8736

C	hourly				OV. COST	OP. COST	OP. COST	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	MRG. PRICE	MRG. PRICE	CO2 EMIS.	BALANCE	BALANCE	BALANCE	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	LOAD	LOAD	LOAD	H. ROR	H. ROR	H. ROR	H. ROR	WIND	WIND	WIND	WIND	SOLAR	SOLAR	SOLAR	SOLAR	NUCLEAR	NUCLEAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	LIGNITE	LIGNITE	COAL	COAL	COAL	COAL	GAS	GAS	GAS	GAS	OIL	OIL	OIL	OIL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. STOR	H. STOR	H. PUMP	H. PUMP	H. PUMP	H. PUMP	H. LEV	H. LEV	H. LEV	H. LEV	H. INFL	H. INFL	H. INFL	H. INFL	H. OVFL	H. OVFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. VAL	H. VAL	H. COST	H. COST	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	LOLD	LOLD	LOLP	AVL DTG	AVL DTG	AVL DTG	AVL DTG	DTG MRG	DTG MRG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	MAX MRG	MAX MRG	NP COST	NP COST	NP COST	NP COST	NODU	NODU	NODU	NODU
					Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Tons	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	%	%	MWh	MWh	MWh	MWh	%	%	%	%	Euro/MWh	Euro/MWh	Euro/MWh	Euro/MWh	Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Hours	Hours	Hours	Hours	%	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	Euro	Euro	 	 	 	 
	index	day	month	hour	EXP	EXP	std	min	max	EXP	std	min	max	EXP	EXP	std	min	max	values	EXP	EXP	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	values	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max
	1	01	JAN	00:00	2018485	1981359	1066701	0	2750800	38.89	20.79	0	50.00	48043	0	0	0	0	0	0	0	68808	2661	65159	74833	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	17849	10032	0	28416	0	0	0	0	928	1819	0	5328	0	0	0	0	48.09	27.15	0	76.06	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	37126	72773	0	213136	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	14817	8564	0	23723	14079	8242	0	23723	0	0	0	0	49	26	0	67
	2	01	JAN	01:00	1968539	1940516	1050173	0	2715000	38.89	20.79	0	50.00	47553	0	0	0	0	0	0	0	67447	2598	63863	72980	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	17033	9916	0	27000	0	0	0	0	701	1609	0	5133	0	0	0	0	48.09	27.16	0	76.09	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	28023	64367	0	205324	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	15634	9362	0	30152	14934	8593	0	25019	0	0	0	0	50	27	0	67
	3	01	JAN	02:00	1912885	1887826	1020787	0	2715000	38.89	20.79	0	50.00	46921	0	0	0	0	0	0	0	66013	2736	62833	72118	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	15979	9228	0	27000	0	0	0	0	626	1665	0	5328	0	0	0	0	48.10	27.17	0	76.12	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	25060	66607	0	213136	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	16688	9629	0	26725	16061	9150	0	26049	0	0	0	0	50	27	0	67
	4	01	JAN	03:00	1822886	1719801	937675	0	2665350	38.89	20.79	0	50.00	44904	0	0	0	0	0	0	0	64659	2866	60811	70815	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	12618	7728	0	26007	0	0	0	0	2779	3232	0	7837	0	0	0	0	48.09	27.16	0	76.15	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	103085	119771	0	313468	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	20048	11320	0	28712	17270	9791	0	28071	0	0	0	0	50	27	0	67
	5	01	JAN	04:00	1802480	1752999	965958	0	2570350	38.89	20.79	0	50.00	45303	0	0	0	0	0	0	0	63640	2571	59535	68915	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	13282	8685	0	24107	0	0	0	0	1459	2812	0	8000	0	0	0	0	48.09	27.16	0	76.10	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	49480	92930	0	240000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	19384	11707	0	34480	17925	10094	0	29347	0	0	0	0	50	27	0	67
	6	01	JAN	05:00	1772956	1694069	920498	0	2561150	38.89	20.79	0	50.00	44595	0	0	0	0	0	0	0	62774	2825	58381	68731	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	12104	7490	0	23923	0	0	0	0	1972	2902	0	7837	0	0	0	0	48.09	27.16	0	76.13	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	78887	116098	0	313468	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	20563	11837	0	30747	18591	10525	0	30501	0	0	0	0	50	27	0	67
	7	01	JAN	06:00	1734289	1618555	887818	0	2372650	38.89	20.79	0	50.00	43689	0	0	0	0	0	0	0	62339	2714	58327	68173	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	10593	7293	0	20853	0	0	0	0	3116	2931	0	8000	0	0	0	0	48.07	27.16	0	76.08	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	115734	104441	0	240000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	22073	12832	0	35688	18958	10677	0	30555	0	0	0	0	50	27	0	67
	8	01	JAN	07:00	1745582	1695530	937554	0	2535400	38.89	20.79	0	50.00	44613	0	0	0	0	0	0	0	62168	2770	58319	68216	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	12133	8252	0	23408	0	0	0	0	1478	2803	0	8000	0	0	0	0	48.07	27.15	0	76.03	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	50052	92639	0	240000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	20534	12334	0	35775	19056	10752	0	30563	0	0	0	0	50	27	0	67
	9	01	JAN	08:00	1753486	1682246	928170	0	2577550	38.89	20.79	0	50.00	44454	0	0	0	0	0	0	0	62662	2835	58663	69059	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	11867	7964	0	24251	0	0	0	0	2205	3231	0	8000	0	0	0	0	48.06	27.14	0	75.98	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	71240	101642	0	240000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	20800	12053	0	35628	18595	10548	0	30219	0	0	0	0	50	27	0	67
	10	01	JAN	09:00	1789068	1738720	959713	0	2585850	38.89	20.79	0	50.00	45131	0	0	0	0	0	0	0	63174	2557	60079	69225	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	12997	8498	0	24417	0	0	0	0	1481	2841	0	8000	0	0	0	0	48.06	27.14	0	75.93	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	50348	94406	0	240000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	19670	11800	0	35591	18189	10310	0	28803	0	0	0	0	50	27	0	67
	11	01	JAN	10:00	1828108	1783535	965607	0	2620250	38.89	20.79	0	50.00	45669	0	0	0	0	0	0	0	64053	2442	61306	69913	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	13893	8219	0	25105	0	0	0	0	1316	2541	0	7259	0	0	0	0	48.06	27.14	0	75.96	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	44573	83782	0	217775	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	18774	10512	0	27576	17458	9941	0	27576	0	0	0	0	50	27	0	67
	12	01	JAN	11:00	1868280	1818799	1001414	0	2660950	38.89	20.79	0	50.00	46092	0	0	0	0	0	0	0	65083	2504	61985	70727	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	14598	9284	0	25919	0	0	0	0	1459	2812	0	8000	0	0	0	0	48.06	27.14	0	75.91	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	49480	92930	0	240000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	18068	11176	0	33118	16609	9494	0	26897	0	0	0	0	50	27	0	67
	13	01	JAN	12:00	1922586	1921461	1034205	0	2715000	38.89	20.79	0	50.00	47324	0	0	0	0	0	0	0	65968	2622	62771	72061	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	16651	9346	0	27000	0	0	0	0	28	80	0	253	0	0	0	0	48.08	27.15	0	75.94	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	1124	3180	0	10120	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	16015	9206	0	26111	15987	9209	0	26111	0	0	0	0	50	27	0	67
	14	01	JAN	13:00	1960757	1900987	1024661	0	2715000	38.89	20.79	0	50.00	47079	0	0	0	0	0	0	0	67285	2457	64196	72835	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	16242	9207	0	27000	0	0	0	0	1494	2654	0	7837	0	0	0	0	48.08	27.15	0	75.97	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	59770	106159	0	313468	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	16425	9616	0	26245	15026	8680	0	24686	0	0	0	0	50	27	0	67
	15	01	JAN	14:00	2007005	1914515	1033887	0	2715000	38.89	20.79	0	50.00	47241	0	0	0	0	0	0	0	68604	2532	65575	74617	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	16513	9525	0	27000	0	0	0	0	2329	2753	0	7837	0	0	0	0	48.07	27.15	0	76.00	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	92491	110556	0	313468	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	16154	9695	0	28440	14091	8169	0	23307	0	0	0	0	50	27	0	67
