C	area	id	weekly
	VARIABLES	BEGIN	END
	58	1	52

C	weekly	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	BALANCE	BALANCE	LOAD	LOAD	H. ROR	H. ROR	WIND	WIND	SOLAR	SOLAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	COAL	COAL	GAS	GAS	OIL	OIL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. PUMP	H. PUMP	H. LEV	H. LEV	H. INFL	H. INFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	AVL DTG	AVL DTG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	NP COST	NP COST	NODU	NODU
		Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	MWh	MWh	%	%	Euro/MWh	Euro/MWh	Euro	Euro	MWh	MWh	MWh	MWh	Hours	Hours	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	 	 
	week	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max
	1	1	7	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	7	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	2
	2	9	6	8	6	1	1	9	6	3	4	1	1	1	1	1	1	3	9	1	1	1	1	1	6	9	6	1	1	8	4	1	1	8	4	3	4	1	1	4	1	8	7	1	1	1	1	1	1	3	8	6	8	6	8	1	1	4	2
	3	1	9	1	7	1	1	1	9	3	4	1	1	1	1	1	1	7	9	1	1	1	1	1	7	1	9	1	1	2	4	1	1	8	4	3	4	1	1	4	1	2	9	1	1	1	1	1	1	7	3	7	3	7	3	1	1	8	9
	4	6	2	6	7	1	1	6	4	3	4	1	1	1	1	1	1	1	3	1	1	1	1	6	8	6	2	1	1	6	4	1	1	8	4	3	4	1	1	4	1	6	4	1	1	1	1	1	1	8	3	8	6	8	6	1	1	1	3
	5	7	2	1	2	1	1	1	2	3	4	1	1	1	1	1	1	1	2	1	1	1	1	1	2	7	6	1	1	2	4	1	1	8	4	3	4	1	1	1	1	2	4	1	1	1	1	1	1	9	7	2	7	2	7	1	1	1	2
	6	7	6	1	2	1	1	7	6	2	4	1	1	1	1	1	1	3	5	1	1	1	1	1	6	7	6	1	1	2	4	1	1	8	4	2	4	1	1	1	1	2	4	1	1	1	1	1	1	7	4	6	1	6	1	1	1	4	5
	7	4	6	1	8	1	1	1	6	2	4	1	1	1	1	1	1	9	5	1	1	1	1	1	8	4	3	1	1	2	4	1	1	8	4	2	4	1	1	1	1	2	4	1	1	1	1	1	1	9	5	9	1	9	1	1	1	4	5
	8	4	5	1	5	1	1	4	5	2	4	1	1	1	1	1	1	1	2	1	1	1	1	1	5	4	5	1	1	2	5	1	1	3	4	2	4	1	1	1	1	2	5	1	1	1	1	1	1	1	2	5	4	5	4	1	1	4	2
	9	4	2	3	2	1	1	1	2	6	1	1	1	1	1	1	1	5	3	1	1	1	1	1	2	4	5	1	1	2	4	1	1	3	4	6	1	1	1	1	1	2	4	1	1	1	1	1	1	1	3	2	4	2	4	1	1	4	6
	10	4	6	8	6	1	1	4	5	6	1	1	1	1	1	1	1	6	8	1	1	1	1	1	6	4	6	1	1	2	4	1	1	3	4	6	1	1	1	1	1	2	4	1	1	1	1	1	1	6	8	6	4	6	4	1	1	4	8
	11	4	6	8	6	1	1	4	5	6	1	1	1	1	1	1	1	7	8	1	1	1	1	1	6	4	6	1	1	2	4	1	1	3	4	6	1	1	1	1	1	2	4	1	1	1	1	1	1	4	8	5	1	5	1	1	1	4	8
	12	4	2	4	2	1	1	4	2	6	1	1	1	1	1	1	1	3	4	1	1	1	1	1	2	4	2	1	1	2	7	1	1	3	1	6	1	1	1	1	1	2	7	1	1	1	1	1	1	4	1	2	1	2	1	1	1	4	6
	13	4	6	2	6	1	1	2	6	6	1	1	1	1	1	1	1	9	2	1	1	1	1	1	1	4	6	1	1	2	4	1	1	3	1	6	1	1	1	1	1	2	4	1	1	1	1	1	1	2	7	6	7	6	7	1	1	4	6
	14	4	6	4	6	1	1	2	9	6	7	1	1	1	1	1	1	6	9	1	1	1	1	1	1	4	6	1	1	2	4	1	1	3	1	6	7	1	1	1	1	2	4	1	1	1	1	1	1	8	9	8	7	8	7	1	1	2	6
	15	4	6	9	8	1	1	4	6	6	7	1	1	1	1	1	1	8	9	1	1	1	1	1	8	4	8	1	1	2	7	1	1	3	1	6	7	1	1	1	3	2	3	1	1	1	1	1	1	8	9	8	4	8	4	1	1	4	6
	16	7	6	4	6	1	1	2	6	6	7	1	1	1	1	1	1	3	6	1	1	1	1	1	1	7	8	1	1	2	4	1	1	3	1	6	7	1	1	1	3	2	3	1	1	1	1	1	1	2	6	2	7	2	7	1	1	7	6
	17	4	6	4	6	1	1	4	9	6	7	1	1	1	1	1	1	5	6	1	1	1	1	1	1	4	5	1	1	2	9	1	1	3	1	6	7	1	1	1	3	2	3	1	1	1	1	1	1	3	6	5	4	5	4	1	1	4	6
	18	3	6	4	6	1	1	2	9	2	3	1	1	1	1	1	1	5	9	1	1	1	1	1	1	4	6	1	1	2	7	1	1	3	1	2	3	1	1	1	3	2	7	1	1	1	1	1	1	2	4	6	4	6	4	1	1	3	6
	19	3	6	3	6	1	1	2	1	2	3	1	1	1	1	1	1	7	1	1	1	1	1	1	1	3	6	1	1	2	7	1	1	3	4	2	3	1	1	1	1	2	7	1	1	1	1	1	1	6	3	6	3	6	3	1	1	7	6
	20	7	1	3	1	1	1	7	1	2	3	1	1	1	1	1	1	7	6	1	1	1	1	1	1	3	1	1	1	2	3	1	1	3	4	2	3	1	1	1	1	2	3	1	1	1	1	1	1	5	6	5	7	5	7	1	1	7	1
	21	7	6	3	9	1	1	7	9	2	3	1	1	1	1	1	1	5	6	1	1	1	1	1	1	3	9	1	1	2	4	1	1	3	7	2	3	1	1	1	1	2	4	1	1	1	1	1	1	5	4	9	7	9	7	1	1	7	6
	22	3	4	3	4	1	1	9	4	2	3	1	1	1	1	1	1	3	4	1	1	1	1	1	1	3	6	1	1	2	7	1	1	3	7	2	3	1	1	1	1	2	7	1	1	1	1	1	1	6	1	6	5	6	5	1	1	3	4
	23	5	2	5	2	1	1	5	6	2	3	1	1	1	1	1	1	5	6	1	1	1	1	1	1	5	8	1	1	4	3	1	1	8	7	2	3	1	1	1	1	4	3	1	1	1	1	1	1	6	9	2	9	2	9	1	1	3	8
	24	5	6	5	6	1	1	2	6	2	3	1	1	1	1	1	1	5	8	1	1	1	1	1	1	5	6	1	1	2	3	1	1	8	7	2	3	1	1	7	1	2	3	1	1	1	1	1	1	6	9	6	5	6	5	1	1	2	6
	25	6	8	5	4	1	1	2	7	2	3	1	1	1	1	1	1	6	8	1	1	1	1	1	1	5	4	1	1	2	7	1	1	8	7	2	3	1	1	7	1	2	3	1	1	1	1	1	1	4	5	4	5	4	5	1	1	4	5
	26	3	5	3	9	1	1	2	7	2	3	1	1	1	1	1	1	3	7	1	1	1	1	1	1	3	4	1	1	2	7	1	1	8	7	2	3	1	1	4	1	4	5	1	1	1	1	1	1	9	1	9	3	9	3	1	1	4	7
	27	3	1	3	1	1	1	3	9	2	8	1	1	1	1	1	1	3	9	1	1	1	1	1	1	3	1	1	1	8	9	1	1	8	7	2	8	1	1	4	1	8	1	1	1	1	1	1	1	1	6	1	3	1	3	1	1	4	1
	28	3	2	3	2	1	1	3	1	2	8	1	1	1	1	1	1	3	1	1	1	1	1	1	1	3	2	1	1	8	4	1	1	8	7	2	8	1	1	4	1	8	5	1	1	1	1	1	1	5	9	1	8	1	8	1	1	6	2
	29	7	2	3	1	1	1	7	2	2	8	1	1	1	1	1	1	7	2	1	1	1	1	1	1	3	1	1	1	2	4	1	1	8	7	2	8	1	1	4	2	7	5	1	1	1	1	1	1	1	7	1	7	1	7	1	1	1	2
	30	9	2	4	2	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	4	2	1	1	2	3	1	1	2	7	2	8	1	1	4	2	9	5	1	1	1	1	1	1	9	7	2	4	2	4	1	1	9	7
	31	7	2	7	5	1	1	7	5	2	3	1	1	1	1	1	1	9	2	1	1	1	1	1	1	7	5	1	1	6	5	1	1	2	7	2	3	1	1	1	2	9	5	1	1	1	1	1	1	5	1	5	7	5	7	1	1	9	7
	32	4	2	4	2	1	1	1	3	2	3	1	1	1	1	1	1	4	8	1	1	1	1	1	1	1	2	1	1	4	5	1	1	2	7	2	3	1	1	1	2	4	5	1	1	1	1	1	1	5	1	2	4	2	4	1	1	9	4
	33	1	6	4	6	1	1	1	9	2	3	1	1	1	1	1	1	1	9	1	1	1	1	1	1	3	6	1	1	4	5	1	1	2	4	2	3	1	1	1	2	4	5	1	1	1	1	1	1	5	3	5	1	5	1	1	1	1	6
	34	1	6	3	7	1	1	1	9	2	3	1	1	1	1	1	1	1	6	1	1	1	1	1	1	3	7	1	1	2	7	1	1	6	4	2	3	1	1	1	2	1	5	1	1	1	1	1	1	5	3	2	3	2	3	1	1	1	6
	35	1	8	5	8	1	1	1	3	2	3	1	1	1	1	1	1	9	3	1	1	1	1	1	1	5	8	1	1	6	3	1	1	6	4	2	3	1	1	1	2	1	5	1	1	1	1	1	1	8	5	8	5	8	5	1	1	1	2
	36	5	8	1	8	1	1	1	3	2	5	1	1	1	1	1	1	5	3	1	1	1	1	1	1	1	8	1	1	2	3	1	1	6	4	2	5	1	1	1	2	1	5	1	1	1	1	1	1	8	3	8	4	8	4	1	1	5	8
	37	4	2	9	8	1	1	4	5	2	5	1	1	1	1	1	1	4	1	1	1	1	1	1	1	9	2	1	1	9	5	1	1	6	4	2	5	1	1	1	2	9	5	1	1	1	1	1	1	8	9	8	9	8	9	1	1	4	2
	38	6	1	6	3	1	1	6	1	2	5	1	1	1	1	1	1	3	1	1	1	1	1	1	1	6	3	1	1	6	4	1	1	6	4	2	5	1	1	3	2	6	5	1	1	1	1	1	1	3	2	3	6	3	6	1	1	6	1
	39	4	6	5	3	1	1	2	6	2	5	1	1	1	1	1	1	4	7	1	1	1	1	1	1	5	6	1	1	2	5	1	1	6	4	2	5	1	1	3	2	2	5	1	1	1	1	1	1	3	7	3	7	3	7	1	1	9	6
	40	3	6	3	9	1	1	7	6	2	3	1	1	1	1	1	1	2	7	1	1	1	1	1	1	3	6	1	1	2	4	1	1	6	4	2	3	1	1	3	1	2	5	1	1	1	1	1	1	1	3	1	3	1	3	1	1	3	6
	41	5	1	3	4	1	1	5	1	2	3	1	1	1	1	1	1	4	3	1	1	1	1	1	1	5	1	1	1	2	4	1	1	6	4	2	3	1	1	3	1	2	4	1	1	1	1	1	1	1	3	1	3	1	3	1	1	5	8
	42	3	1	5	9	1	1	3	9	2	3	1	1	1	1	1	1	1	5	1	1	1	1	1	1	5	1	1	1	8	4	1	1	6	9	2	3	1	1	3	1	3	5	1	1	1	1	1	1	1	7	1	3	1	3	1	1	3	8
	43	3	2	3	9	1	1	3	9	2	3	1	1	1	1	1	1	8	4	1	1	1	1	1	1	3	9	1	1	2	5	1	1	6	9	2	3	1	1	3	1	3	5	1	1	1	1	1	1	9	2	9	3	9	3	1	1	3	2
	44	4	9	3	9	1	1	4	9	8	5	1	1	1	1	1	1	5	1	1	1	1	1	1	1	4	9	1	1	2	5	1	1	2	9	8	5	1	1	3	1	2	5	1	1	1	1	1	1	9	6	9	4	9	4	1	1	4	2
	45	4	2	3	9	1	1	1	6	8	5	1	1	1	1	1	1	3	4	1	1	1	1	1	1	4	2	1	1	2	4	1	1	8	9	8	5	1	1	3	1	2	5	1	1	1	1	1	1	3	4	9	4	9	4	1	1	4	7
	46	3	2	3	9	1	1	3	5	8	5	1	1	1	1	1	1	6	4	1	1	1	1	1	1	3	2	1	1	2	5	1	1	8	9	8	5	1	1	3	1	3	5	1	1	1	1	1	1	6	4	2	3	2	3	1	1	3	5
	47	7	8	8	9	1	1	7	5	8	5	1	1	1	1	1	1	3	2	1	1	1	1	1	1	7	9	1	1	2	4	1	1	8	4	8	5	1	1	3	1	2	5	1	1	1	1	1	1	9	5	9	7	9	7	1	1	7	8
	48	4	2	3	2	1	1	4	6	8	5	1	1	1	1	1	1	8	1	1	1	1	1	1	2	4	8	1	1	2	7	1	1	8	4	8	5	1	1	3	1	9	7	1	1	1	1	1	1	8	1	8	4	8	4	1	1	4	1
	49	5	1	3	1	1	1	5	1	8	5	1	1	1	1	1	1	8	3	1	1	1	1	2	8	5	8	1	1	2	1	1	1	8	4	8	5	1	1	3	1	2	1	1	1	1	1	1	1	8	3	8	5	8	5	1	1	5	3
	50	4	8	1	8	1	1	6	3	8	5	1	1	1	1	1	1	5	4	1	1	1	1	1	8	4	3	1	1	2	3	1	1	8	4	8	5	1	1	4	1	2	5	1	1	1	1	1	1	5	1	8	4	8	4	1	1	5	3
	51	5	9	5	9	1	1	1	9	8	5	1	1	1	1	1	1	9	8	1	1	1	1	1	2	4	9	1	1	2	4	1	1	8	4	8	5	1	1	4	1	2	5	1	1	1	1	1	1	6	8	9	4	9	4	1	1	6	8
