C	area	va	daily
	VARIABLES	BEGIN	END
	122	1	364

C	daily			OV. COST	OP. COST	OP. COST	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	MRG. PRICE	MRG. PRICE	CO2 EMIS.	BALANCE	BALANCE	BALANCE	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	LOAD	LOAD	LOAD	H. ROR	H. ROR	H. ROR	H. ROR	WIND	WIND	WIND	WIND	SOLAR	SOLAR	SOLAR	SOLAR	NUCLEAR	NUCLEAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	LIGNITE	LIGNITE	COAL	COAL	COAL	COAL	GAS	GAS	GAS	GAS	OIL	OIL	OIL	OIL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. STOR	H. STOR	H. PUMP	H. PUMP	H. PUMP	H. PUMP	H. LEV	H. LEV	H. LEV	H. LEV	H. INFL	H. INFL	H. INFL	H. INFL	H. OVFL	H. OVFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. VAL	H. VAL	H. COST	H. COST	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	LOLD	LOLD	LOLP	AVL DTG	AVL DTG	AVL DTG	AVL DTG	DTG MRG	DTG MRG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	MAX MRG	MAX MRG	NP COST	NP COST	NP COST	NP COST	NODU	NODU	NODU	NODU
				Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Tons	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	%	%	MWh	MWh	MWh	MWh	%	%	%	%	Euro/MWh	Euro/MWh	Euro/MWh	Euro/MWh	Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Hours	Hours	Hours	Hours	%	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	Euro	Euro	 	 	 	 
	index	day	month	EXP	EXP	std	min	max	EXP	std	min	max	EXP	EXP	std	min	max	values	EXP	EXP	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	values	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max
	1	01	JAN	46990321	45383029	24435796	0	64174996	39.58	21.25	0	56.25	1126856	0	0	0	0	0	0	0	1618201	67471	1543983	1780696	102064	50579	0	165672	0	0	0	0	0	0	0	0	0	0	0	0	746667	401508	0	1056000	0	0	0	0	0	0	0	0	541	1530	0	4870	384128	215500	0	620508	0	0	0	0	43836	27166	0	79926	0	0	0	0	48.06	27.14	0	76.02	35854	23188	0	71002	0	0	0	0	28.89	15.95	0	40.00	1607292	994960	0	3197043	0	0	0	0	0	0	0	0	0	0	0	0	0	1962667	58545	1848000	2040000	399331	227250	0	630250	371866	211701	0	589185	0	0	0	0	1211	649	0	1618
	2	02	JAN	51350312	49386615	26750000	0	73520360	42.22	24.39	0	80.00	1163267	0	0	0	0	0	0	0	1716058	82108	1622319	1921147	102064	50579	0	165672	0	0	0	0	0	0	0	0	0	0	0	0	736000	395980	0	1056000	0	0	0	0	0	0	0	0	13278	37557	0	119505	451287	246131	0	685080	0	0	0	0	53188	33184	0	102250	0	0	0	0	47.96	27.06	0	76.00	35854	23188	0	71003	0	0	0	0	28.89	15.95	0	40.00	1963697	1250658	0	4090020	0	0	0	0	0	0	0	0	0	0	0	0	0	1949333	60692	1824000	2040000	316768	186091	0	535774	316200	182009	0	525592	0	0	0	0	1261	677	0	1724
	3	03	JAN	55755690	53434981	29012079	0	78615146	50.56	29.46	0	80.00	1201713	0	0	0	0	0	0	0	1814650	80418	1721918	1998790	102064	50579	0	165672	0	0	0	0	0	0	0	0	0	0	0	0	730667	393078	0	1032000	0	0	0	0	0	0	0	0	36258	57332	0	183189	499220	269511	0	720000	0	0	0	0	62878	38279	0	116209	0	0	0	0	47.76	26.94	0	75.78	35854	23188	0	71002	0	0	0	0	28.89	15.95	0	40.00	2320709	1438000	0	4648347	0	0	0	0	0	0	0	0	0	0	0	0	0	1946667	65429	1848000	2016000	248522	153082	0	421724	280858	166661	0	477916	0	0	0	0	1300	700	0	1790
	4	04	JAN	55099778	52834087	28646683	0	78010565	50.28	29.25	0	80.00	1191830	0	0	0	0	0	0	0	1795886	77533	1696027	1972956	102064	50579	0	165672	0	0	0	0	0	0	0	0	0	0	0	0	725333	390246	0	1032000	0	0	0	0	0	0	0	0	30536	58566	0	186132	500091	269924	0	720000	0	0	0	0	61440	37617	0	111432	0	0	0	0	47.50	26.78	0	75.53	35854	23188	0	71003	0	0	0	0	28.89	15.95	0	40.00	2265691	1405014	0	4457278	0	0	0	0	0	0	0	0	0	0	0	0	0	1936000	58788	1848000	2016000	248040	150347	0	416557	286130	167206	0	486407	0	0	0	0	1298	700	0	1875
	5	05	JAN	50655227	48782844	26263105	0	66896560	44.03	25.48	0	80.00	1149897	0	0	0	0	0	0	0	1700187	66815	1598736	1796546	102064	50579	0	165672	0	0	0	0	0	0	0	0	0	0	0	0	725333	390573	0	1032000	0	0	0	0	0	0	0	0	4835	12126	0	38890	460187	252245	0	690471	0	0	0	0	50857	29883	0	84690	0	0	0	0	47.28	26.65	0	75.18	35854	23188	0	71002	0	0	0	0	28.89	15.95	0	40.00	1872383	1101743	0	3290562	0	0	0	0	0	0	0	0	0	0	0	0	0	1922667	57069	1824000	2016000	300311	173130	0	502835	306564	175610	0	510413	0	0	0	0	1243	667	0	1704
	6	06	JAN	46206044	44714630	24197883	0	64169087	38.89	20.79	0	50.00	1106496	0	0	0	0	0	0	0	1592202	76760	1507415	1711000	102064	50579	0	165672	0	0	0	0	0	0	0	0	0	0	0	0	730667	393403	0	1032000	0	0	0	0	0	0	0	0	0	0	0	0	382826	218070	0	631334	0	0	0	0	40502	23153	0	65907	0	0	0	0	47.16	26.57	0	75.14	35854	23188	0	71003	0	0	0	0	28.89	15.95	0	40.00	1491413	852374	0	2455838	0	0	0	0	0	0	0	0	0	0	0	0	0	1933333	67039	1824000	2040000	385174	222960	0	667954	362625	209056	0	630410	0	0	0	0	1235	663	0	1704
	7	07	JAN	45430761	44006456	23914349	0	63292690	38.89	20.79	0	50.00	1091757	0	0	0	0	0	0	0	1564400	85907	1453806	1687075	102064	50579	0	165672	0	0	0	0	0	0	0	0	0	0	0	0	722667	389205	0	1008000	0	0	0	0	0	0	0	0	0	0	0	0	374262	218412	0	627454	0	0	0	0	38397	21731	0	57517	0	0	0	0	47.12	26.56	0	75.32	35854	23188	0	71002	0	0	0	0	28.89	15.95	0	40.00	1424305	828568	0	2300687	0	0	0	0	0	0	0	0	0	0	0	0	0	1930667	51983	1848000	2016000	399071	230797	0	673312	372973	214234	0	623351	0	0	0	0	1227	658	0	1680
	8	08	JAN	59483902	57439858	4183283	51673148	62474310	50.00	0	50.00	50.00	1425598	0	0	0	0	0	0	0	1598882	75941	1504869	1708135	112651	31917	59712	165672	0	0	0	0	0	0	0	0	0	0	0	0	944000	58788	864000	1032000	0	0	0	0	0	0	0	0	0	0	0	0	487997	99879	352825	611086	0	0	0	0	54234	11121	36488	68776	0	0	0	0	60.71	8.60	44.81	75.32	48280	13679	25589	71003	0	0	0	0	37.78	4.15	30.00	40.00	2044044	470712	1455649	2751041	0	0	0	0	0	0	0	0	0	0	0	0	0	1933333	58909	1848000	2040000	501336	82737	379648	638859	462211	85966	344306	600877	0	0	0	0	1575	72	1450	1680
