C	area	va	weekly
	VARIABLES	BEGIN	END
	122	1	52

C	weekly	OV. COST	OP. COST	OP. COST	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	MRG. PRICE	MRG. PRICE	CO2 EMIS.	BALANCE	BALANCE	BALANCE	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	LOAD	LOAD	LOAD	H. ROR	H. ROR	H. ROR	H. ROR	WIND	WIND	WIND	WIND	SOLAR	SOLAR	SOLAR	SOLAR	NUCLEAR	NUCLEAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	LIGNITE	LIGNITE	COAL	COAL	COAL	COAL	GAS	GAS	GAS	GAS	OIL	OIL	OIL	OIL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. STOR	H. STOR	H. PUMP	H. PUMP	H. PUMP	H. PUMP	H. LEV	H. LEV	H. LEV	H. LEV	H. INFL	H. INFL	H. INFL	H. INFL	H. OVFL	H. OVFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. VAL	H. VAL	H. COST	H. COST	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	LOLD	LOLD	LOLP	AVL DTG	AVL DTG	AVL DTG	AVL DTG	DTG MRG	DTG MRG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	MAX MRG	MAX MRG	NP COST	NP COST	NP COST	NP COST	NODU	NODU	NODU	NODU
		Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Tons	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	%	%	MWh	MWh	MWh	MWh	%	%	%	%	Euro/MWh	Euro/MWh	Euro/MWh	Euro/MWh	Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Hours	Hours	Hours	Hours	%	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	Euro	Euro	 	 	 	 
	week	EXP	EXP	std	min	max	EXP	std	min	max	EXP	EXP	std	min	max	values	EXP	EXP	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	values	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max
	1	351488132	338542642	182667958	0	475693985	43.49	23.81	0	68.04	8031815	0	0	0	0	0	0	0	11801583	469994	11220976	12709058	714448	354050	0	1159704	0	0	0	0	0	0	0	0	0	0	0	0	5117333	2751460	0	7248000	0	0	0	0	0	0	0	0	85448	163820	0	532586	3052002	1662468	0	4453685	0	0	0	0	351099	209098	0	609386	0	0	0	0	47.55	26.81	0	75.57	250977	162318	0	497017	0	0	0	0	28.89	15.95	0	40.00	12945490	7792773	0	24375432	0	0	0	0	0	0	0	0	0	0	0	0	0	13581333	384740	12888000	14112000	2297216	1309558	0	3756484	2297216	1309558	0	3756485	0	0	0	0	8775	4706	0	11918
	2	451983002	434563650	35960909	394255379	494252658	58.17	7.76	50.00	72.32	10311668	0	0	0	0	0	0	0	11832622	582013	11053318	12751249	788571	223416	417984	1159704	0	0	0	0	0	0	0	0	0	0	0	0	6578667	383240	5904000	7032000	0	0	0	0	0	0	0	0	132524	145392	0	416404	3874169	631046	2962708	4615606	0	0	0	0	458692	96932	313388	612197	0	0	0	0	60.14	8.45	44.98	74.87	337961	95754	179123	497018	0	0	0	0	38.28	3.39	30.00	40.00	17419352	3427095	12535520	22295718	0	0	0	0	0	0	0	0	0	0	0	0	0	13466667	312399	13032000	13968000	2881308	601206	1903989	3836174	2881308	601206	1903990	3836174	0	0	0	0	11299	411	10533	11919
	3	453364333	434948745	23141443	394690157	469922870	56.43	6.17	50.00	71.25	10410695	0	0	0	0	0	0	0	11924960	489068	11301511	12753097	788588	223422	417968	1159704	0	0	0	0	0	0	0	0	0	0	0	0	6682667	254272	6072000	7008000	0	0	0	0	0	0	0	0	81423	133759	0	450729	3890831	408119	3089003	4393633	0	0	0	0	481451	142045	289233	758212	0	0	0	0	58.80	7.75	45.62	72.70	337961	95754	179123	497017	0	0	0	0	38.89	3.14	30.00	40.00	18415587	4394095	11569306	25144835	0	0	0	0	0	0	0	0	0	0	0	0	0	13578667	389425	12840000	14232000	2923746	465591	1979174	3689364	2923746	465591	1979174	3689364	0	0	0	0	11371	308	10918	11918
	4	455326088	436568895	19882526	389053732	464236363	57.00	5.74	50.00	65.00	10429524	0	0	0	0	0	0	0	11964352	463273	10771446	12430127	788583	223436	417900	1159704	0	0	0	0	0	0	0	0	0	0	0	0	6680000	184521	6408000	7056000	0	0	0	0	0	0	0	0	75781	86380	0	270392	3934129	376855	2993075	4385337	0	0	0	0	485859	137129	286111	755711	0	0	0	0	57.33	6.99	45.84	70.40	337960	95754	179123	497018	0	0	0	0	39.11	2.53	31.95	40.00	18757193	4374530	11444455	24133787	0	0	0	0	0	0	0	0	0	0	0	0	0	13645333	482276	12696000	14400000	2955424	633116	2036917	4374925	2955424	633116	2036917	4374926	0	0	0	0	11416	268	11030	11876
	5	450924587	431199175	24345800	396575689	478911250	57.66	6.26	50.00	67.50	10440942	0	0	0	0	0	0	0	11877015	314892	11375771	12395683	790315	218316	513276	1147047	0	0	0	0	0	0	0	0	0	0	0	0	6789333	188109	6480000	7128000	0	0	0	0	0	0	0	0	112031	121229	0	345647	3692201	311648	3059514	4088615	0	0	0	0	493135	133359	341218	824006	0	0	0	0	55.82	6.41	45.68	67.12	338703	93554	219986	491579	0	0	0	0	40.00	0	40.00	40.00	19725412	5334357	13648735	32960238	0	0	0	0	0	0	0	0	0	0	0	0	0	13605333	275145	13152000	14160000	3011768	563986	2122763	4140486	3011768	563986	2122764	4140486	0	0	0	0	11412	246	10920	11800
	6	425476844	407507883	26353125	362181470	447278116	52.68	5.04	50.00	63.21	10191886	0	0	0	0	0	0	0	11413894	314427	10798479	11853566	791610	237097	555421	1137528	0	0	0	0	0	0	0	0	0	0	0	0	6808000	219964	6456000	7200000	0	0	0	0	0	0	0	0	32496	60795	0	146605	3332564	443156	2657229	4023795	0	0	0	0	449224	118983	301665	742222	0	0	0	0	54.43	5.89	45.40	64.12	339260	101607	238056	487501	0	0	0	0	40.00	0	40.00	40.00	17968961	4759339	12066597	29688881	0	0	0	0	0	0	0	0	0	0	0	0	0	13738667	221735	13392000	14016000	3565607	542591	2765600	4215526	3565607	542591	2765600	4215526	0	0	0	0	11367	269	11001	11904
	7	420082309	402698963	28815064	361273184	430404245	50.77	2.19	50.00	56.96	10156880	0	0	0	0	0	0	0	11323459	292642	10844955	11657449	791607	237090	555492	1137528	0	0	0	0	0	0	0	0	0	0	0	0	6829333	200515	6480000	7080000	0	0	0	0	0	0	0	0	9184	25977	0	82659	3258751	640438	2336664	4034627	0	0	0	0	434584	96914	254763	616852	0	0	0	0	53.47	5.85	44.95	62.29	339260	101607	238056	487501	0	0	0	0	40.00	0	40.00	40.00	17383346	3876556	10190537	24674093	0	0	0	0	0	0	0	0	0	0	0	0	0	13698667	391228	12960000	14256000	3601398	727292	2753222	4815924	3601398	727292	2753223	4815924	0	0	0	0	11330	407	10395	11785
	8	439657854	420466056	35924936	356377734	484051732	53.61	7.91	50.00	75.71	10358224	0	0	0	0	0	0	0	11696629	466488	10974600	12645051	791595	237063	555492	1137452	0	0	0	0	0	0	0	0	0	0	0	0	6829333	234636	6408000	7200000	0	0	0	0	0	0	0	0	54803	144968	0	464559	3541102	580232	2188355	4233740	0	0	0	0	479795	102282	311793	622036	0	0	0	0	52.32	5.99	42.87	61.24	339259	101606	238054	487499	0	0	0	0	40.00	0	40.00	40.00	19191798	4091288	12471708	24881431	0	0	0	0	0	0	0	0	0	0	0	0	0	13722667	265518	13392000	14352000	3297428	617131	2141701	4483645	3297428	617131	2141701	4483645	0	0	0	0	11357	360	10765	11925
