C	area	de	monthly
	VARIABLES	BEGIN	END
	9	1	12

C	monthly		BASE	INT	PEAK	BASE	INT	PEAK	BASE	INT	PEAK
			MWh	MWh	MWh	NP Cost - Euro	NP Cost - Euro	NP Cost - Euro	NODU	NODU	NODU
	index	month	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP
	1	JAN	27960000	16581850	267913	0	0	0	27960	19222	374
	2	FEB	27261333	13692268	102479	0	0	0	27261	17856	143
	3	MAR	29001697	13420959	22456	0	0	0	29003	18727	33
	4	APR	28014068	7232731	43	0	0	0	28040	10916	0
	5	MAY	28762158	2118371	0	0	0	0	29684	2946	0
	6	JUN	25311861	357890	0	0	0	0	28370	480	0
	7	JUL	25335797	183813	0	0	0	0	29148	258	0
	8	AUG	26919599	791185	0	0	0	0	29334	1091	0
	9	SEP	27595066	2413636	0	0	0	0	28407	3415	0
	10	OCT	28958882	7887591	0	0	0	0	29016	12044	0
	11	NOV	29059935	10954466	1070	0	0	0	29061	17104	1
	12	DEC	26410667	13392497	102747	0	0	0	26411	17308	140
