C	area	de	daily
	VARIABLES	BEGIN	END
	9	1	364

C	daily			BASE	INT	PEAK	BASE	INT	PEAK	BASE	INT	PEAK
				MWh	MWh	MWh	NP Cost - Euro	NP Cost - Euro	NP Cost - Euro	NODU	NODU	NODU
	index	day	month	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP
	1	01	JAN	746667	402551	657	0	0	0	747	466	1
	2	02	JAN	736000	455642	11247	0	0	0	736	508	17
	3	03	JAN	730667	491054	23155	0	0	0	731	520	32
	4	04	JAN	725333	493918	21200	0	0	0	725	520	40
	5	05	JAN	725333	460073	3082	0	0	0	725	511	4
	6	06	JAN	730667	391102	396	0	0	0	731	504	0
	7	07	JAN	722667	383118	256	0	0	0	723	504	0
	8	08	JAN	944000	506261	874	0	0	0	944	629	1
	9	09	JAN	928000	583549	9322	0	0	0	928	650	13
	10	10	JAN	933333	613292	30893	0	0	0	933	657	39
	11	11	JAN	941333	605636	25633	0	0	0	941	656	36
	12	12	JAN	946667	583624	12196	0	0	0	947	654	17
	13	13	JAN	941333	526256	4318	0	0	0	941	647	5
	14	14	JAN	944000	501242	3596	0	0	0	944	645	6
	15	15	JAN	944000	533627	2903	0	0	0	944	644	3
	16	16	JAN	944000	580654	3986	0	0	0	944	647	5
	17	17	JAN	957333	612954	20455	0	0	0	957	653	24
	18	18	JAN	962667	624690	18668	0	0	0	963	662	24
	19	19	JAN	976000	565664	6050	0	0	0	976	657	7
	20	20	JAN	952000	505795	4907	0	0	0	952	659	10
	21	21	JAN	946667	491444	458	0	0	0	947	659	1
	22	22	JAN	946667	535857	797	0	0	0	947	660	1
	23	23	JAN	957333	583945	9162	0	0	0	957	662	15
	24	24	JAN	960000	635330	12288	0	0	0	960	670	19
	25	25	JAN	957333	624763	11111	0	0	0	957	669	14
	26	26	JAN	954667	583782	2730	0	0	0	955	661	4
	27	27	JAN	952000	511607	339	0	0	0	952	656	0
	28	28	JAN	952000	497829	369	0	0	0	952	650	1
	29	29	JAN	954667	517129	416	0	0	0	955	646	1
	30	30	JAN	973333	575692	3643	0	0	0	973	649	5
	31	31	JAN	973333	603770	22808	0	0	0	973	645	30
	32	01	FEB	976000	587241	17238	0	0	0	976	635	22
	33	02	FEB	970667	553460	13276	0	0	0	971	633	19
	34	03	FEB	970667	464914	6364	0	0	0	971	632	7
	35	04	FEB	970667	435501	2781	0	0	0	971	635	3
	36	05	FEB	968000	441036	175	0	0	0	968	635	0
	37	06	FEB	973333	509014	4824	0	0	0	973	645	6
	38	07	FEB	973333	577243	3274	0	0	0	973	665	4
	39	08	FEB	970667	568075	690	0	0	0	971	656	1
	40	09	FEB	976000	489062	41	0	0	0	976	654	0
	41	10	FEB	976000	399518	0	0	0	0	976	636	0
	42	11	FEB	970667	372107	0	0	0	0	971	621	0
	43	12	FEB	968000	413541	0	0	0	0	968	642	0
	44	13	FEB	970667	497309	0	0	0	0	971	651	0
	45	14	FEB	976000	544764	1153	0	0	0	976	658	1
	46	15	FEB	984000	552406	143	0	0	0	984	666	0
	47	16	FEB	978667	482182	0	0	0	0	979	647	0
	48	17	FEB	978667	402658	0	0	0	0	979	626	0
	49	18	FEB	973333	373779	0	0	0	0	973	594	0
	50	19	FEB	970667	446211	876	0	0	0	971	607	1
	51	20	FEB	976000	524518	7657	0	0	0	976	626	10
	52	21	FEB	978667	571123	6406	0	0	0	979	642	10
	53	22	FEB	984000	576893	10591	0	0	0	984	652	17
	54	23	FEB	984000	523546	10034	0	0	0	984	642	17
	55	24	FEB	973333	469333	9192	0	0	0	973	621	12
	56	25	FEB	962667	436146	3379	0	0	0	963	608	4
	57	26	FEB	962667	457412	0	0	0	0	963	632	0
	58	27	FEB	965333	492287	921	0	0	0	965	641	1
	59	28	FEB	978667	530987	3463	0	0	0	979	652	4
	60	01	MAR	970667	545293	3301	0	0	0	971	652	5
	61	02	MAR	954667	479174	677	0	0	0	955	631	1
	62	03	MAR	946667	399098	343	0	0	0	947	609	0
	63	04	MAR	946667	374978	17	0	0	0	947	581	0
	64	05	MAR	938667	412606	33	0	0	0	939	579	0
	65	06	MAR	944000	492803	854	0	0	0	944	608	2
	66	07	MAR	941333	556051	4695	0	0	0	941	627	6
	67	08	MAR	933333	554231	5180	0	0	0	933	639	6
	68	09	MAR	922667	487035	3014	0	0	0	923	640	7
	69	10	MAR	912000	411974	321	0	0	0	912	640	0
	70	11	MAR	914667	362070	663	0	0	0	915	637	1
	71	12	MAR	925333	393159	0	0	0	0	925	635	0
	72	13	MAR	917333	493385	381	0	0	0	917	645	1
	73	14	MAR	901333	580397	2672	0	0	0	901	657	4
	74	15	MAR	904000	572871	0	0	0	0	904	664	0
	75	16	MAR	906667	498946	0	0	0	0	907	654	0
	76	17	MAR	914667	400831	0	0	0	0	915	634	0
	77	18	MAR	922667	346755	0	0	0	0	923	600	0
	78	19	MAR	925333	354894	0	0	0	0	925	601	0
	79	20	MAR	936000	439829	0	0	0	0	936	624	0
	80	21	MAR	933333	499930	160	0	0	0	933	628	1
	81	22	MAR	938667	502337	143	0	0	0	939	625	0
	82	23	MAR	946667	401480	0	0	0	0	947	578	0
	83	24	MAR	960000	292175	0	0	0	0	960	513	0
	84	25	MAR	956364	256445	0	0	0	0	957	467	0
	85	26	MAR	954667	279187	0	0	0	0	955	495	0
	86	27	MAR	952000	395711	0	0	0	0	952	572	0
	87	28	MAR	952000	474718	0	0	0	0	952	618	0
	88	29	MAR	941333	470132	0	0	0	0	941	620	0
