C	area	id	daily
	VARIABLES	BEGIN	END
	58	1	364

C	daily			OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	BALANCE	BALANCE	LOAD	LOAD	H. ROR	H. ROR	WIND	WIND	SOLAR	SOLAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	COAL	COAL	GAS	GAS	OIL	OIL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. PUMP	H. PUMP	H. LEV	H. LEV	H. INFL	H. INFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	AVL DTG	AVL DTG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	NP COST	NP COST	NODU	NODU
				Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	MWh	MWh	%	%	Euro/MWh	Euro/MWh	Euro	Euro	MWh	MWh	MWh	MWh	Hours	Hours	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	 	 
	index	day	month	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max
	1	01	JAN	1	7	1	7	1	1	6	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	7	1	1	1	7	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	4	1	6	1	1	1	2
	2	02	JAN	1	7	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	7	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	7
	3	03	JAN	1	7	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	7	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	8	1	4	1	1	1	7
	4	04	JAN	1	7	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	7	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	8	1	4	1	1	1	7
	5	05	JAN	1	2	1	7	1	1	1	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	7	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	8	1	4	1	4	1	1	1	2
	6	06	JAN	1	2	1	7	1	1	1	2	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	6	1	1	1	4	1	1	1	4	1	4	1	1	1	2	1	6	1	1	1	1	1	1	9	8	1	8	1	8	1	1	1	2
	7	07	JAN	1	6	1	7	1	1	9	6	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	6	1	1	1	4	1	1	1	4	1	4	1	1	1	2	1	6	1	1	1	1	1	1	7	8	1	4	1	4	1	1	1	2
	8	08	JAN	1	6	8	7	1	1	9	5	3	4	1	1	1	1	1	1	3	8	1	1	1	1	1	6	1	6	1	1	2	5	1	1	8	4	3	4	1	1	4	1	2	5	1	1	1	1	1	1	4	8	6	8	6	8	1	1	1	8
