C	area	va	weekly
	VARIABLES	BEGIN	END
	122	1	52

C	weekly	OV. COST	OP. COST	OP. COST	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	MRG. PRICE	MRG. PRICE	CO2 EMIS.	BALANCE	BALANCE	BALANCE	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	LOAD	LOAD	LOAD	H. ROR	H. ROR	H. ROR	H. ROR	WIND	WIND	WIND	WIND	SOLAR	SOLAR	SOLAR	SOLAR	NUCLEAR	NUCLEAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	LIGNITE	LIGNITE	COAL	COAL	COAL	COAL	GAS	GAS	GAS	GAS	OIL	OIL	OIL	OIL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. STOR	H. STOR	H. PUMP	H. PUMP	H. PUMP	H. PUMP	H. LEV	H. LEV	H. LEV	H. LEV	H. INFL	H. INFL	H. INFL	H. INFL	H. OVFL	H. OVFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. VAL	H. VAL	H. COST	H. COST	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	LOLD	LOLD	LOLP	AVL DTG	AVL DTG	AVL DTG	AVL DTG	DTG MRG	DTG MRG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	MAX MRG	MAX MRG	NP COST	NP COST	NP COST	NP COST	NODU	NODU	NODU	NODU
		Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Tons	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	%	%	MWh	MWh	MWh	MWh	%	%	%	%	Euro/MWh	Euro/MWh	Euro/MWh	Euro/MWh	Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Hours	Hours	Hours	Hours	%	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	Euro	Euro	 	 	 	 
	week	EXP	EXP	std	min	max	EXP	std	min	max	EXP	EXP	std	min	max	values	EXP	EXP	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	values	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max
	1	350735305	337778985	182171077	0	473365516	42.26	23.62	0	73.21	8029270	0	0	0	0	0	0	0	11801583	469994	11220976	12709058	714448	354050	0	1159704	0	0	0	0	0	0	0	0	0	0	0	0	5117333	2751460	0	7248000	0	0	0	0	0	0	0	0	59993	140820	0	454970	3077458	1680045	0	4528423	0	0	0	0	351099	209098	0	609386	0	0	0	0	47.54	26.80	0	75.74	250977	162318	0	497017	0	0	0	0	28.93	15.95	0	40.00	12956320	7792341	0	24375432	0	0	0	0	0	0	0	0	0	0	0	0	0	13581333	384740	12888000	14112000	2297216	1309558	0	3756484	2297216	1309558	0	3756485	0	0	0	0	8745	4689	0	11833
	2	450601372	433192909	35103214	394255379	493317834	57.86	9.48	50.00	74.64	10307099	0	0	0	0	0	0	0	11832622	582013	11053318	12751249	788571	223416	417984	1159704	0	0	0	0	0	0	0	0	0	0	0	0	6578667	383240	5904000	7032000	0	0	0	0	0	0	0	0	86832	125596	0	385244	3919860	669306	2962708	4646767	0	0	0	0	458692	96932	313388	612197	0	0	0	0	60.06	8.44	44.95	74.88	337961	95754	179123	497018	0	0	0	0	38.24	3.44	30.00	40.00	17408463	3439095	12535520	22295718	0	0	0	0	0	0	0	0	0	0	0	0	0	13466667	312399	13032000	13968000	2881308	601206	1903989	3836174	2881308	601206	1903989	3836174	0	0	0	0	11234	420	10533	11834
	3	452639335	434228834	22701938	394690157	469053336	54.33	7.52	50.00	75.18	10408295	0	0	0	0	0	0	0	11924960	489068	11301511	12753097	788588	223422	417968	1159704	0	0	0	0	0	0	0	0	0	0	0	0	6682667	254272	6072000	7008000	0	0	0	0	0	0	0	0	57426	116642	0	382954	3914828	422381	3089003	4422617	0	0	0	0	481451	142045	289233	758212	0	0	0	0	58.68	7.70	45.61	72.29	337961	95754	179123	497017	0	0	0	0	38.88	3.14	30.00	40.00	18410500	4386321	11569306	25099050	0	0	0	0	0	0	0	0	0	0	0	0	0	13578667	389425	12840000	14232000	2923746	465591	1979174	3689364	2923746	465591	1979174	3689364	0	0	0	0	11338	316	10868	11887
	4	454159906	435399348	19384830	389053732	462056991	53.67	5.76	50.00	69.46	10425625	0	0	0	0	0	0	0	11964352	463273	10771446	12430127	788583	223436	417900	1159704	0	0	0	0	0	0	0	0	0	0	0	0	6680000	184521	6408000	7056000	0	0	0	0	0	0	0	0	36796	63430	0	208414	3973114	392569	2993075	4457983	0	0	0	0	485859	137129	286111	755711	0	0	0	0	57.17	7.00	45.54	70.33	337960	95754	179123	497018	0	0	0	0	39.11	2.51	32.02	40.00	18760558	4378675	11444455	24164074	0	0	0	0	0	0	0	0	0	0	0	0	0	13645333	482276	12696000	14400000	2955424	633116	2036917	4374925	2955424	633116	2036918	4374926	0	0	0	0	11362	287	10929	11879
	5	449559424	429834013	23617430	396575689	477628699	55.87	7.60	50.00	70.89	10436392	0	0	0	0	0	0	0	11877015	314892	11375771	12395683	790315	218316	513276	1147047	0	0	0	0	0	0	0	0	0	0	0	0	6789333	188109	6480000	7128000	0	0	0	0	0	0	0	0	66526	93004	0	302896	3737706	334622	3059514	4191180	0	0	0	0	493135	133359	341218	824006	0	0	0	0	55.70	6.45	45.32	67.01	338703	93554	219986	491579	0	0	0	0	40.00	0	40.00	40.00	19725412	5334357	13648735	32960238	0	0	0	0	0	0	0	0	0	0	0	0	0	13605333	275145	13152000	14160000	3011768	563986	2122763	4140486	3011768	563986	2122763	4140486	0	0	0	0	11352	259	10920	11781
	6	424772057	406803095	25313715	362181470	443673657	51.96	4.58	50.00	64.64	10189536	0	0	0	0	0	0	0	11413894	314427	10798479	11853566	791610	237097	555421	1137528	0	0	0	0	0	0	0	0	0	0	0	0	6808000	219964	6456000	7200000	0	0	0	0	0	0	0	0	9003	18100	0	54573	3356057	476166	2657229	4143944	0	0	0	0	449224	118983	301665	742222	0	0	0	0	54.28	6.03	45.31	64.31	339260	101607	238056	487501	0	0	0	0	40.00	0	40.00	40.00	17968961	4759339	12066597	29688881	0	0	0	0	0	0	0	0	0	0	0	0	0	13738667	221735	13392000	14016000	3565607	542591	2765600	4215526	3565607	542591	2765601	4215526	0	0	0	0	11333	257	11006	11904
	7	419845667	402462320	28606208	361273184	430404245	50.20	0.56	50.00	51.79	10156091	0	0	0	0	0	0	0	11323459	292642	10844955	11657449	791607	237090	555492	1137528	0	0	0	0	0	0	0	0	0	0	0	0	6829333	200515	6480000	7080000	0	0	0	0	0	0	0	0	1296	3666	0	11666	3266639	645740	2336664	4034627	0	0	0	0	434584	96914	254763	616852	0	0	0	0	53.51	5.88	44.84	62.42	339260	101607	238056	487501	0	0	0	0	40.00	0	40.00	40.00	17383346	3876556	10190537	24674093	0	0	0	0	0	0	0	0	0	0	0	0	0	13698667	391228	12960000	14256000	3601398	727292	2753222	4815924	3601398	727292	2753223	4815924	0	0	0	0	11315	416	10376	11787
	8	439457824	420266026	35681210	356377734	482998047	53.17	8.67	50.00	77.68	10357557	0	0	0	0	0	0	0	11696629	466488	10974600	12645051	791595	237063	555492	1137452	0	0	0	0	0	0	0	0	0	0	0	0	6829333	234636	6408000	7200000	0	0	0	0	0	0	0	0	48136	134815	0	429436	3547770	586585	2188355	4268863	0	0	0	0	479795	102282	311793	622036	0	0	0	0	52.32	6.05	42.59	61.21	339259	101606	238054	487499	0	0	0	0	40.00	0	40.00	40.00	19191798	4091288	12471708	24881431	0	0	0	0	0	0	0	0	0	0	0	0	0	13722667	265518	13392000	14352000	3297428	617131	2141701	4483645	3297427	617131	2141700	4483645	0	0	0	0	11299	449	10322	11926
