C	area	de	hourly
	VARIABLES	BEGIN	END
	9	1	8736

C	hourly				BASE	INT	PEAK	BASE	INT	PEAK	BASE	INT	PEAK
					MWh	MWh	MWh	NP Cost - Euro	NP Cost - Euro	NP Cost - Euro	NODU	NODU	NODU
	index	day	month	hour	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP
	1	01	JAN	00:00	31111	18441	0	0	0	0	31	19	0
	2	01	JAN	01:00	31111	17512	0	0	0	0	31	19	0
	3	01	JAN	02:00	31111	15979	0	0	0	0	31	19	0
	4	01	JAN	03:00	31111	14017	0	0	0	0	31	19	0
	5	01	JAN	04:00	31111	13853	0	0	0	0	31	19	0
	6	01	JAN	05:00	31111	13566	0	0	0	0	31	19	0
	7	01	JAN	06:00	31111	13139	0	0	0	0	31	19	0
	8	01	JAN	07:00	31111	12722	0	0	0	0	31	19	0
	9	01	JAN	08:00	31111	12377	0	0	0	0	31	19	0
	10	01	JAN	09:00	31111	12997	0	0	0	0	31	19	0
	11	01	JAN	10:00	31111	15209	0	0	0	0	31	19	0
	12	01	JAN	11:00	31111	15169	0	0	0	0	31	19	0
	13	01	JAN	12:00	31111	16651	0	0	0	0	31	19	0
	14	01	JAN	13:00	31111	17113	0	0	0	0	31	19	0
	15	01	JAN	14:00	31111	18463	0	0	0	0	31	19	0
	16	01	JAN	15:00	31111	19051	0	0	0	0	31	19	0
	17	01	JAN	16:00	31111	19382	0	0	0	0	31	20	0
	18	01	JAN	17:00	31111	19438	17	0	0	0	31	20	0
	19	01	JAN	18:00	31111	19444	87	0	0	0	31	20	0
	20	01	JAN	19:00	31111	20474	177	0	0	0	31	21	0
	21	01	JAN	20:00	31111	19504	161	0	0	0	31	21	0
	22	01	JAN	21:00	31111	19276	99	0	0	0	31	21	0
	23	01	JAN	22:00	31111	19469	116	0	0	0	31	21	0
	24	01	JAN	23:00	31111	19309	0	0	0	0	31	21	0
	25	02	JAN	00:00	30667	19234	1302	0	0	0	31	21	1
	26	02	JAN	01:00	30667	19483	217	0	0	0	31	21	1
	27	02	JAN	02:00	30667	18009	915	0	0	0	31	21	1
	28	02	JAN	03:00	30667	17001	721	0	0	0	31	21	1
	29	02	JAN	04:00	30667	18053	590	0	0	0	31	21	1
	30	02	JAN	05:00	30667	17006	0	0	0	0	31	21	0
	31	02	JAN	06:00	30667	15849	0	0	0	0	31	21	0
	32	02	JAN	07:00	30667	17315	500	0	0	0	31	21	1
	33	02	JAN	08:00	30667	16682	0	0	0	0	31	21	0
	34	02	JAN	09:00	30667	17010	0	0	0	0	31	21	0
	35	02	JAN	10:00	30667	17470	0	0	0	0	31	21	0
	36	02	JAN	11:00	30667	17859	0	0	0	0	31	21	0
	37	02	JAN	12:00	30667	18416	19	0	0	0	31	21	0
	38	02	JAN	13:00	30667	18277	116	0	0	0	31	21	0
	39	02	JAN	14:00	30667	19898	204	0	0	0	31	21	0
	40	02	JAN	15:00	30667	21431	313	0	0	0	31	21	0
	41	02	JAN	16:00	30667	21517	1297	0	0	0	31	22	1
	42	02	JAN	17:00	30667	21556	565	0	0	0	31	22	1
	43	02	JAN	18:00	30667	20243	639	0	0	0	31	22	1
	44	02	JAN	19:00	30667	21113	702	0	0	0	31	22	1
	45	02	JAN	20:00	30667	20506	674	0	0	0	31	22	1
	46	02	JAN	21:00	30667	20693	1535	0	0	0	31	21	2
	47	02	JAN	22:00	30667	20544	521	0	0	0	31	21	1
	48	02	JAN	23:00	30667	20476	417	0	0	0	31	21	1
	49	03	JAN	00:00	30444	21045	578	0	0	0	30	22	1
	50	03	JAN	01:00	30444	21206	418	0	0	0	30	22	1
	51	03	JAN	02:00	30444	21270	1078	0	0	0	30	22	1
	52	03	JAN	03:00	30444	19506	57	0	0	0	30	22	1
	53	03	JAN	04:00	30444	20571	24	0	0	0	30	22	1
	54	03	JAN	05:00	30444	18846	860	0	0	0	30	22	1
	55	03	JAN	06:00	30444	18105	0	0	0	0	30	22	0
	56	03	JAN	07:00	30444	19057	0	0	0	0	30	22	0
	57	03	JAN	08:00	30444	18932	0	0	0	0	30	22	0
	58	03	JAN	09:00	30444	18400	0	0	0	0	30	22	0
	59	03	JAN	10:00	30444	20537	0	0	0	0	30	22	0
	60	03	JAN	11:00	30444	19349	115	0	0	0	30	22	0
	61	03	JAN	12:00	30444	20196	271	0	0	0	30	22	0
	62	03	JAN	13:00	30444	20192	1365	0	0	0	30	22	1
	63	03	JAN	14:00	30444	20829	586	0	0	0	30	22	1
	64	03	JAN	15:00	30444	21667	1865	0	0	0	30	22	2
	65	03	JAN	16:00	30444	20967	2175	0	0	0	30	22	2
	66	03	JAN	17:00	30444	21667	2026	0	0	0	30	22	3
	67	03	JAN	18:00	30444	21283	2294	0	0	0	30	22	3
	68	03	JAN	19:00	30444	21314	2326	0	0	0	30	22	3
	69	03	JAN	20:00	30444	21667	2614	0	0	0	30	22	3
	70	03	JAN	21:00	30444	21446	1890	0	0	0	30	22	3
	71	03	JAN	22:00	30444	21372	1568	0	0	0	30	22	2
	72	03	JAN	23:00	30444	21634	1045	0	0	0	30	22	2
	73	04	JAN	00:00	30222	21667	1701	0	0	0	30	22	2
	74	04	JAN	01:00	30222	19961	1590	0	0	0	30	22	2
	75	04	JAN	02:00	30222	21069	616	0	0	0	30	22	2
	76	04	JAN	03:00	30222	20317	1379	0	0	0	30	22	2
	77	04	JAN	04:00	30222	19824	304	0	0	0	30	22	2
	78	04	JAN	05:00	30222	20094	1062	0	0	0	30	22	2
	79	04	JAN	06:00	30222	18904	158	0	0	0	30	22	2
	80	04	JAN	07:00	30222	18826	120	0	0	0	30	22	2
	81	04	JAN	08:00	30222	18136	930	0	0	0	30	22	2
	82	04	JAN	09:00	30222	19435	967	0	0	0	30	22	2
	83	04	JAN	10:00	30222	19986	242	0	0	0	30	22	2
	84	04	JAN	11:00	30222	20297	357	0	0	0	30	22	2
	85	04	JAN	12:00	30222	21480	446	0	0	0	30	22	2
	86	04	JAN	13:00	30222	20818	508	0	0	0	30	22	2
	87	04	JAN	14:00	30222	21057	715	0	0	0	30	22	2
	88	04	JAN	15:00	30222	21667	836	0	0	0	30	22	2
	89	04	JAN	16:00	30222	21324	893	0	0	0	30	22	2
	90	04	JAN	17:00	30222	21667	1025	0	0	0	30	22	2
	91	04	JAN	18:00	30222	21389	1185	0	0	0	30	22	2
	92	04	JAN	19:00	30222	21667	2080	0	0	0	30	22	2
	93	04	JAN	20:00	30222	20889	1271	0	0	0	30	22	1
	94	04	JAN	21:00	30222	21154	1140	0	0	0	30	22	1
	95	04	JAN	22:00	30222	21283	942	0	0	0	30	22	1
	96	04	JAN	23:00	30222	21010	731	0	0	0	30	22	1
	97	05	JAN	00:00	30222	20524	0	0	0	0	30	21	0
	98	05	JAN	01:00	30222	19290	676	0	0	0	30	21	1
	99	05	JAN	02:00	30222	18286	0	0	0	0	30	21	0
	100	05	JAN	03:00	30222	18388	0	0	0	0	30	21	0
	101	05	JAN	04:00	30222	17730	0	0	0	0	30	21	0
	102	05	JAN	05:00	30222	17414	0	0	0	0	30	21	0
	103	05	JAN	06:00	30222	16335	0	0	0	0	30	21	0
	104	05	JAN	07:00	30222	17730	163	0	0	0	30	21	0
	105	05	JAN	08:00	30222	17171	0	0	0	0	30	21	0
	106	05	JAN	09:00	30222	18255	202	0	0	0	30	21	0
	107	05	JAN	10:00	30222	17983	0	0	0	0	30	21	0
