C	area	de	weekly
	VARIABLES	BEGIN	END
	9	1	52

C	weekly	BASE	INT	PEAK	BASE	INT	PEAK	BASE	INT	PEAK
		MWh	MWh	MWh	NP Cost - Euro	NP Cost - Euro	NP Cost - Euro	NODU	NODU	NODU
	week	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP
	1	6740000	3772173	138933	0	0	0	6740	4454	185
	2	6652000	3785479	215897	0	0	0	6652	4503	265
	3	6684000	3793556	45403	0	0	0	6684	4501	60
	4	6702000	3673943	13581	0	0	0	6702	4446	18
	5	6504000	3914695	95846	0	0	0	6504	4413	122
	6	6654000	3802305	50098	0	0	0	6654	4515	66
	7	6726000	3703466	29633	0	0	0	6726	4511	38
	8	6586000	3784058	72667	0	0	0	6586	4425	101
	9	6636000	3729903	11499	0	0	0	6636	4531	15
	10	6606000	3281843	623	0	0	0	6606	4503	2
	11	6691897	2800897	0	0	0	0	6692	4320	0
	12	6760000	2483902	0	0	0	0	6760	4192	0
	13	6578000	2596155	0	0	0	0	6578	4025	0
	14	6511181	2120743	0	0	0	0	6514	3419	0
	15	6595399	1656535	0	0	0	0	6607	2529	0
	16	6553268	1336073	0	0	0	0	6576	2018	0
	17	6627529	1177069	0	0	0	0	6657	1743	0
	18	6502185	890036	0	0	0	0	6584	1252	0
	19	4831550	546240	0	0	0	0	4926	746	0
	20	6410160	440361	0	0	0	0	6652	586	0
	21	6367250	362850	0	0	0	0	6718	528	0
	22	6321406	327425	0	0	0	0	6665	451	0
	23	6153982	128572	0	0	0	0	6731	165	0
	24	6000200	62679	0	0	0	0	6705	80	0
	25	5778411	71900	0	0	0	0	6451	94	0
	26	5751866	83698	0	0	0	0	6472	111	0
	27	5778991	79082	0	0	0	0	6497	109	0
	28	5786303	116627	0	0	0	0	6442	151	0
	29	5595986	11124	0	0	0	0	6609	15	0
	30	5867152	52303	0	0	0	0	6713	73	0
	31	5939462	58622	0	0	0	0	6745	79	0
	32	6022718	134936	0	0	0	0	6676	173	0
	33	6066683	219265	0	0	0	0	6481	284	0
	34	6275669	194081	0	0	0	0	6615	251	0
	35	6392579	499461	0	0	0	0	6530	682	0
	36	6445029	539121	0	0	0	0	6575	718	0
	37	6404110	652298	0	0	0	0	6536	904	0
	38	6589110	860266	0	0	0	0	6646	1220	0
	39	6644866	975446	0	0	0	0	6670	1399	0
	40	6612326	1342209	0	0	0	0	6636	1953	0
	41	6647161	1704401	0	0	0	0	6652	2623	0
	42	6051852	1813966	0	0	0	0	6054	3050	0
	43	6056637	2029462	0	0	0	0	6058	3306	0
	44	6766823	2286912	2177	0	0	0	6768	3413	3
	45	6828000	2418825	0	0	0	0	6828	3702	0
	46	6660000	2618543	96	0	0	0	6660	3983	0
	47	6676000	3069133	5008	0	0	0	6676	4252	7
	48	6508000	3335875	224	0	0	0	6508	4496	1
	49	5940000	3162196	20978	0	0	0	5940	4111	29
	50	6538000	3506159	97906	0	0	0	6538	4410	131
	51	6550000	3562752	52038	0	0	0	6550	4512	74
	52	6680000	3596851	77414	0	0	0	6680	4419	106
