C	area	va	hourly
	VARIABLES	BEGIN	END
	122	1	8736

C	hourly				OV. COST	OP. COST	OP. COST	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	MRG. PRICE	MRG. PRICE	CO2 EMIS.	BALANCE	BALANCE	BALANCE	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	LOAD	LOAD	LOAD	H. ROR	H. ROR	H. ROR	H. ROR	WIND	WIND	WIND	WIND	SOLAR	SOLAR	SOLAR	SOLAR	NUCLEAR	NUCLEAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	LIGNITE	LIGNITE	COAL	COAL	COAL	COAL	GAS	GAS	GAS	GAS	OIL	OIL	OIL	OIL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. STOR	H. STOR	H. PUMP	H. PUMP	H. PUMP	H. PUMP	H. LEV	H. LEV	H. LEV	H. LEV	H. INFL	H. INFL	H. INFL	H. INFL	H. OVFL	H. OVFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. VAL	H. VAL	H. COST	H. COST	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	LOLD	LOLD	LOLP	AVL DTG	AVL DTG	AVL DTG	AVL DTG	DTG MRG	DTG MRG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	MAX MRG	MAX MRG	NP COST	NP COST	NP COST	NP COST	NODU	NODU	NODU	NODU
					Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Tons	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	%	%	MWh	MWh	MWh	MWh	%	%	%	%	Euro/MWh	Euro/MWh	Euro/MWh	Euro/MWh	Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Hours	Hours	Hours	Hours	%	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	Euro	Euro	 	 	 	 
	index	day	month	hour	EXP	EXP	std	min	max	EXP	std	min	max	EXP	EXP	std	min	max	values	EXP	EXP	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	values	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max
	1	01	JAN	00:00	2599084	2520976	197771	2154208	2761500	55.00	11.18	50.00	80.00	61647	0	0	0	0	0	0	0	69039	3526	61643	73324	4440	1069	3128	7056	0	0	0	0	0	0	0	0	0	0	0	0	40250	1362	37000	42000	0	0	0	0	0	0	0	0	0	0	0	0	22245	4362	14504	29000	0	0	0	0	2105	2946	0	8000	0	0	0	0	60.71	10.05	47.77	76.05	1903	458	1341	3024	0	0	0	0	37.50	4.33	30.00	40.00	78108	108399	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	80667	2427	77000	87000	18172	4872	14000	30496	17617	4852	11054	30496	0	0	0	0	63	4	56	68
	2	01	JAN	01:00	2544577	2511252	228365	1908196	2765278	55.00	11.18	50.00	80.00	61525	0	0	0	0	0	0	0	67560	3416	60725	71705	4440	1069	3128	7056	0	0	0	0	0	0	0	0	0	0	0	0	40250	1362	37000	42000	0	0	0	0	0	0	0	0	21	70	0	253	22016	5048	8764	29000	0	0	0	0	833	1600	0	4822	0	0	0	0	60.72	10.05	47.75	76.06	1903	458	1341	3024	0	0	0	0	37.50	4.33	30.00	40.00	33325	63998	0	192883	0	0	0	0	0	0	0	0	0	0	0	0	0	80667	2427	77000	87000	18379	5927	13496	36236	18556	4644	12278	31414	0	0	0	0	64	3	57	68
	3	01	JAN	02:00	2470519	2440226	214451	2014617	2745000	52.50	8.29	50.00	80.00	60678	0	0	0	0	0	0	0	66076	3224	60280	70064	4440	1069	3128	7056	0	0	0	0	0	0	0	0	0	0	0	0	40250	1362	37000	42000	0	0	0	0	0	0	0	0	0	0	0	0	20630	4712	12292	29000	0	0	0	0	757	1808	0	6447	0	0	0	0	60.73	10.05	47.77	76.07	1903	458	1341	3024	0	0	0	0	37.50	4.33	30.00	40.00	30292	72328	0	257866	0	0	0	0	0	0	0	0	0	0	0	0	0	80667	2427	77000	87000	19787	5248	14000	31859	19615	4475	13411	31859	0	0	0	0	64	3	57	68
	4	01	JAN	03:00	2406369	2395713	181209	2081100	2684900	50.00	0	50.00	50.00	60144	0	0	0	0	0	0	0	64695	3125	59361	68991	4440	1069	3128	7056	0	0	0	0	0	0	0	0	0	0	0	0	40250	1362	37000	42000	0	0	0	0	0	0	0	0	0	0	0	0	19739	4186	12222	27798	0	0	0	0	266	825	0	2997	0	0	0	0	60.75	10.05	47.79	76.09	1903	458	1341	3024	0	0	0	0	37.50	4.33	30.00	40.00	10656	33004	0	119874	0	0	0	0	0	0	0	0	0	0	0	0	0	80667	2427	77000	87000	20677	4865	14000	32778	20775	4517	15202	32778	0	0	0	0	64	3	57	68
	5	01	JAN	04:00	2328766	2277763	287263	1753846	2631850	50.00	0	50.00	50.00	58728	0	0	0	0	0	0	0	63636	3226	57638	67506	4440	1069	3128	7056	0	0	0	0	0	0	0	0	0	0	0	0	40250	1362	37000	42000	0	0	0	0	0	0	0	0	0	0	0	0	17380	6234	5677	26737	0	0	0	0	1566	2764	0	7322	0	0	0	0	60.75	10.04	47.76	76.10	1903	458	1341	3024	0	0	0	0	37.50	4.33	30.00	40.00	51003	88523	0	219655	0	0	0	0	0	0	0	0	0	0	0	0	0	80667	2427	77000	87000	23036	6908	14627	39323	21642	4823	15591	34501	0	0	0	0	64	3	57	68
	6	01	JAN	05:00	2301703	2280214	226291	1813517	2544100	50.00	0	50.00	50.00	58758	0	0	0	0	0	0	0	62656	3188	56317	66686	4440	1069	3128	7056	0	0	0	0	0	0	0	0	0	0	0	0	40250	1362	37000	42000	0	0	0	0	0	0	0	0	0	0	0	0	17429	4865	8270	24982	0	0	0	0	537	1782	0	6447	0	0	0	0	60.77	10.04	47.79	76.12	1903	458	1341	3024	0	0	0	0	37.50	4.33	30.00	40.00	21489	71271	0	257866	0	0	0	0	0	0	0	0	0	0	0	0	0	80667	2427	77000	87000	22987	5622	15326	35822	22493	4990	15591	35822	0	0	0	0	64	3	57	68
	7	01	JAN	06:00	2257093	2187274	300268	1668096	2537650	50.00	0	50.00	50.00	57642	0	0	0	0	0	0	0	62144	3174	55923	66293	4440	1069	3128	7056	0	0	0	0	0	0	0	0	0	0	0	0	40250	1362	37000	42000	0	0	0	0	0	0	0	0	0	0	0	0	15570	6395	3962	24853	0	0	0	0	1884	2715	0	6650	0	0	0	0	60.77	10.04	47.76	76.13	1903	458	1341	3024	0	0	0	0	37.50	4.33	30.00	40.00	69819	100079	0	257866	0	0	0	0	0	0	0	0	0	0	0	0	0	80667	2427	77000	87000	24846	7068	15719	41038	22962	5044	15719	36216	0	0	0	0	64	3	57	68
	8	01	JAN	07:00	2266913	2240246	182901	1900950	2530950	50.00	0	50.00	50.00	58278	0	0	0	0	0	0	0	61986	3220	55758	66460	4440	1069	3128	7056	0	0	0	0	0	0	0	0	0	0	0	0	40250	1362	37000	42000	0	0	0	0	0	0	0	0	0	0	0	0	16630	4031	8619	24719	0	0	0	0	667	2211	0	8000	0	0	0	0	60.78	10.03	47.78	76.14	1903	458	1341	3024	0	0	0	0	37.50	4.33	30.00	40.00	26667	88443	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	80667	2427	77000	87000	23787	4895	16285	36381	23124	5036	16285	36381	0	0	0	0	64	3	57	68
	9	01	JAN	08:00	2291058	2291058	174045	1954250	2513400	50.00	0	50.00	50.00	58888	0	0	0	0	0	0	0	62336	3004	56824	66838	4440	1069	3128	7056	0	0	0	0	0	0	0	0	0	0	0	0	40250	1362	37000	42000	0	0	0	0	0	0	0	0	0	0	0	0	17646	3857	9685	24368	0	0	0	0	0	0	0	0	0	0	0	0	60.80	10.03	47.80	76.16	1903	458	1341	3024	0	0	0	0	37.50	4.33	30.00	40.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80667	2427	77000	87000	22771	4749	16512	35315	22806	4715	16512	35315	0	0	0	0	64	3	57	68
	10	01	JAN	09:00	2282537	2199452	250078	1830517	2541050	50.00	0	50.00	50.00	57788	0	0	0	0	0	0	0	62872	3108	57105	67983	4440	1069	3128	7056	0	0	0	0	0	0	0	0	0	0	0	0	40250	1362	37000	42000	0	0	0	0	0	0	0	0	0	0	0	0	15814	5332	8610	24921	0	0	0	0	2368	3368	0	8000	0	0	0	0	60.79	10.01	47.83	76.17	1903	458	1341	3024	0	0	0	0	37.50	4.33	30.00	40.00	83085	120453	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	80667	2427	77000	87000	24603	5751	16288	35034	22365	4697	16288	35034	0	0	0	0	64	3	57	68
	11	01	JAN	10:00	2355927	2334784	176318	2024200	2617250	50.00	0	50.00	50.00	59412	0	0	0	0	0	0	0	63739	3069	58223	68041	4440	1069	3128	7056	0	0	0	0	0	0	0	0	0	0	0	0	40250	1362	37000	42000	0	0	0	0	0	0	0	0	0	0	0	0	18521	4055	11084	26445	0	0	0	0	529	1753	0	6343	0	0	0	0	60.81	10.01	47.85	76.18	1903	458	1341	3024	0	0	0	0	37.50	4.33	30.00	40.00	21143	70123	0	253713	0	0	0	0	0	0	0	0	0	0	0	0	0	80667	2427	77000	87000	21896	4809	15815	33916	21503	4668	15815	33916	0	0	0	0	64	3	57	68
	12	01	JAN	11:00	2396536	2353795	218534	1838296	2691050	50.00	0	50.00	50.00	59641	0	0	0	0	0	0	0	64659	3097	59327	69160	4440	1069	3128	7056	0	0	0	0	0	0	0	0	0	0	0	0	40250	1362	37000	42000	0	0	0	0	0	0	0	0	0	0	0	0	18901	4776	7366	27921	0	0	0	0	1069	2476	0	8000	0	0	0	0	60.82	10.01	47.82	76.20	1903	458	1341	3024	0	0	0	0	37.50	4.33	30.00	40.00	42740	99030	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	80667	2427	77000	87000	21516	5733	14904	37634	20734	4575	15079	32812	0	0	0	0	64	3	57	68
	13	01	JAN	12:00	2436703	2380631	243854	1935008	2808600	52.50	8.29	50.00	80.00	59945	0	0	0	0	0	0	0	65780	3199	60796	70049	4440	1069	3128	7056	0	0	0	0	0	0	0	0	0	0	0	0	40250	1362	37000	42000	0	0	0	0	0	0	0	0	66	220	0	795	19332	5223	10700	29000	0	0	0	0	1693	2939	0	7322	0	0	0	0	60.82	9.99	47.84	76.21	1903	458	1341	3024	0	0	0	0	37.50	4.33	30.00	40.00	56072	97762	0	253713	0	0	0	0	0	0	0	0	0	0	0	0	0	80667	2427	77000	87000	21019	5639	13205	31343	19703	4564	13205	31343	0	0	0	0	64	3	57	68
	14	01	JAN	13:00	2507795	2469885	268078	1990069	2887240	55.00	11.18	50.00	80.00	60995	0	0	0	0	0	0	0	66924	3343	61202	71219	4440	1069	3128	7056	0	0	0	0	0	0	0	0	0	0	0	0	40250	1362	37000	42000	0	0	0	0	0	0	0	0	148	491	0	1778	20986	5188	12501	29000	0	0	0	0	1100	2274	0	7322	0	0	0	0	60.83	9.98	47.87	76.23	1903	458	1341	3024	0	0	0	0	37.50	4.33	30.00	40.00	37910	75135	0	219655	0	0	0	0	0	0	0	0	0	0	0	0	0	80667	2427	77000	87000	19283	5835	12222	30880	18850	4623	12222	30880	0	0	0	0	64	3	57	68
