C	area	de	daily
	VARIABLES	BEGIN	END
	9	1	364

C	daily			BASE	INT	PEAK	BASE	INT	PEAK	BASE	INT	PEAK
				MWh	MWh	MWh	NP Cost - Euro	NP Cost - Euro	NP Cost - Euro	NODU	NODU	NODU
	index	day	month	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP
	1	01	JAN	966000	500476	5838	0	0	0	966	582	7
	2	02	JAN	964000	559045	16448	0	0	0	964	633	22
	3	03	JAN	968000	588914	33328	0	0	0	968	640	41
	4	04	JAN	966000	596272	36827	0	0	0	966	645	49
	5	05	JAN	958000	564682	20840	0	0	0	958	650	34
	6	06	JAN	962000	492309	11602	0	0	0	962	652	14
	7	07	JAN	956000	470475	14051	0	0	0	956	652	17
	8	08	JAN	952000	509363	21164	0	0	0	952	649	23
	9	09	JAN	954000	568221	31786	0	0	0	954	651	44
	10	10	JAN	950000	597448	57341	0	0	0	950	644	77
	11	11	JAN	954000	578961	46798	0	0	0	954	639	54
	12	12	JAN	944000	555202	40606	0	0	0	944	639	46
	13	13	JAN	948000	497880	13745	0	0	0	948	642	16
	14	14	JAN	950000	478403	4458	0	0	0	950	640	6
	15	15	JAN	946000	512190	2082	0	0	0	946	637	2
	16	16	JAN	940000	579016	6264	0	0	0	940	645	10
	17	17	JAN	944000	605286	19787	0	0	0	944	644	24
	18	18	JAN	952000	602963	13500	0	0	0	952	650	17
	19	19	JAN	964000	561607	2315	0	0	0	964	644	5
	20	20	JAN	968000	487236	1455	0	0	0	968	641	2
	21	21	JAN	970000	445258	0	0	0	0	970	640	0
	22	22	JAN	968000	484681	170	0	0	0	968	637	0
	23	23	JAN	964000	557885	1893	0	0	0	964	640	3
	24	24	JAN	958000	587207	7554	0	0	0	958	646	10
	25	25	JAN	970000	583126	2109	0	0	0	970	648	3
	26	26	JAN	954000	544329	1237	0	0	0	954	634	2
	27	27	JAN	946000	481649	29	0	0	0	946	623	0
	28	28	JAN	942000	435065	589	0	0	0	942	618	1
	29	29	JAN	930000	507209	5136	0	0	0	930	621	6
	30	30	JAN	928000	579659	12724	0	0	0	928	623	18
	31	31	JAN	924000	618310	34381	0	0	0	924	636	44
	32	01	FEB	930000	622258	32957	0	0	0	930	636	41
	33	02	FEB	932000	584149	6995	0	0	0	932	638	9
	34	03	FEB	934000	518489	2276	0	0	0	934	634	3
	35	04	FEB	926000	484621	1377	0	0	0	926	624	2
	36	05	FEB	936000	486260	7	0	0	0	936	631	0
	37	06	FEB	940000	570174	4082	0	0	0	940	641	6
	38	07	FEB	946000	613372	23912	0	0	0	946	652	31
	39	08	FEB	954000	604908	15877	0	0	0	954	652	22
	40	09	FEB	958000	571561	3297	0	0	0	958	652	4
	41	10	FEB	954000	500672	2214	0	0	0	954	646	3
	42	11	FEB	966000	455357	709	0	0	0	966	642	1
	43	12	FEB	964000	471647	2738	0	0	0	964	640	4
	44	13	FEB	962000	552299	3799	0	0	0	962	645	6
	45	14	FEB	966000	594569	10362	0	0	0	966	649	12
	46	15	FEB	968000	599486	11821	0	0	0	968	656	15
	47	16	FEB	964000	548422	914	0	0	0	964	646	1
	48	17	FEB	956000	484637	0	0	0	0	956	644	0
	49	18	FEB	946000	452406	0	0	0	0	946	632	0
	50	19	FEB	946000	501008	1812	0	0	0	946	632	2
	51	20	FEB	942000	557514	5897	0	0	0	942	630	11
	52	21	FEB	938000	592221	26485	0	0	0	938	631	35
	53	22	FEB	936000	592078	23657	0	0	0	936	636	33
	54	23	FEB	942000	556287	10041	0	0	0	942	638	14
	55	24	FEB	938000	511674	3359	0	0	0	938	632	4
	56	25	FEB	944000	473276	1417	0	0	0	944	626	2
	57	26	FEB	942000	500196	0	0	0	0	942	628	0
	58	27	FEB	948000	553856	787	0	0	0	948	640	1
	59	28	FEB	948000	603103	4046	0	0	0	948	657	5
	60	01	MAR	942000	605915	6666	0	0	0	942	660	8
	61	02	MAR	954000	561671	0	0	0	0	954	654	0
	62	03	MAR	952000	473061	0	0	0	0	952	645	0
	63	04	MAR	950000	432101	0	0	0	0	950	647	0
	64	05	MAR	944000	442637	0	0	0	0	944	648	0
	65	06	MAR	942000	507199	0	0	0	0	942	647	0
	66	07	MAR	940000	564872	71	0	0	0	940	656	0
	67	08	MAR	940000	564459	552	0	0	0	940	651	1
	68	09	MAR	936000	486172	0	0	0	0	936	641	0
	69	10	MAR	950000	381248	0	0	0	0	950	632	0
	70	11	MAR	954000	335255	0	0	0	0	954	628	0
	71	12	MAR	944000	380871	0	0	0	0	944	631	0
	72	13	MAR	944000	448126	0	0	0	0	944	635	0
	73	14	MAR	956000	491011	0	0	0	0	956	643	0
	74	15	MAR	960000	478233	0	0	0	0	960	642	0
	75	16	MAR	966000	402114	0	0	0	0	966	614	0
	76	17	MAR	954000	326073	0	0	0	0	954	592	0
	77	18	MAR	967897	274468	0	0	0	0	968	563	0
	78	19	MAR	974000	310910	0	0	0	0	974	586	0
	79	20	MAR	970000	399856	0	0	0	0	970	609	0
	80	21	MAR	968000	445886	0	0	0	0	968	620	0
	81	22	MAR	974000	423374	0	0	0	0	974	604	0
	82	23	MAR	972000	353719	0	0	0	0	972	591	0
	83	24	MAR	956000	292712	0	0	0	0	956	588	0
	84	25	MAR	946000	257444	0	0	0	0	946	595	0
	85	26	MAR	948000	300518	0	0	0	0	948	584	0
	86	27	MAR	954000	387476	0	0	0	0	954	599	0
	87	28	MAR	942000	476158	0	0	0	0	942	612	0
	88	29	MAR	936000	478722	0	0	0	0	936	623	0
