C	area	va	monthly
	VARIABLES	BEGIN	END
	122	1	12

C	monthly		OV. COST	OP. COST	OP. COST	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	MRG. PRICE	MRG. PRICE	CO2 EMIS.	BALANCE	BALANCE	BALANCE	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	LOAD	LOAD	LOAD	H. ROR	H. ROR	H. ROR	H. ROR	WIND	WIND	WIND	WIND	SOLAR	SOLAR	SOLAR	SOLAR	NUCLEAR	NUCLEAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	LIGNITE	LIGNITE	COAL	COAL	COAL	COAL	GAS	GAS	GAS	GAS	OIL	OIL	OIL	OIL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. STOR	H. STOR	H. PUMP	H. PUMP	H. PUMP	H. PUMP	H. LEV	H. LEV	H. LEV	H. LEV	H. INFL	H. INFL	H. INFL	H. INFL	H. OVFL	H. OVFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. VAL	H. VAL	H. COST	H. COST	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	LOLD	LOLD	LOLP	AVL DTG	AVL DTG	AVL DTG	AVL DTG	DTG MRG	DTG MRG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	MAX MRG	MAX MRG	NP COST	NP COST	NP COST	NP COST	NODU	NODU	NODU	NODU
			Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Tons	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	%	%	MWh	MWh	MWh	MWh	%	%	%	%	Euro/MWh	Euro/MWh	Euro/MWh	Euro/MWh	Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Hours	Hours	Hours	Hours	%	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	Euro	Euro	 	 	 	 
	index	month	EXP	EXP	std	min	max	EXP	std	min	max	EXP	EXP	std	min	max	values	EXP	EXP	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	values	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max
	1	JAN	2029995065	1908400931	98055502	1786693992	2191541899	83.06	93.89	50.12	394.15	45836436	0	0	0	0	0	0	0	52047048	790947	50998376	54180902	3303102	795306	2327258	5250000	0	0	0	0	0	0	0	0	0	0	0	0	29560000	1145998	27600000	31368000	0	0	0	0	0	0	0	0	466056	867372	995	3270297	16730328	1254140	14804804	19278363	0	0	0	0	1985302	261673	1590438	2422253	0	0	0	0	57.74	9.47	41.55	71.42	1415615	340846	997396	2250000	0	0	0	0	38.60	2.59	32.38	40.00	76419134	9625603	63617503	96890129	2259	7491	0	27105	0	0	0	0	1.00	3.32	0	12.00	8.33	59732000	1656227	57576000	62544000	12975615	2255310	8027340	16370201	12969376	2263653	7974720	16339912	0	0	0	0	49939	1332	48049	52205
	2	FEB	1773260517	1702301947	72401948	1507254629	1773669301	54.76	2.71	50.58	60.13	41065686	0	0	0	0	0	0	0	46526019	1111902	44274437	48205409	2869456	647790	2132018	4550000	0	0	0	0	0	0	0	0	0	0	0	0	26526000	754896	25368000	27552000	0	0	0	0	0	0	0	0	200837	144229	26172	535683	15156500	1279687	12060017	16387416	0	0	0	0	1773226	284485	1308672	2151420	0	0	0	0	52.33	8.57	32.38	61.75	1229767	277624	913722	1950000	0	0	0	0	40.01	0.02	40.00	40.09	70958570	11414986	52346863	86056806	0	0	0	0	0	0	0	0	0	0	0	0	0	53570000	709081	52176000	54600000	11686663	1305742	9850762	14313811	11713129	1306655	9863730	14372912	0	0	0	0	44701	709	43121	45396
	3	MAR	1760096456	1683135305	58146764	1532302258	1758293994	50.14	0.20	49.94	50.56	43211888	0	0	0	0	0	0	0	47587490	1000348	46150071	49687069	3317809	676970	2306234	4853170	0	0	0	0	0	0	0	0	0	0	0	0	29507897	672496	28128000	30696000	0	0	0	0	0	0	0	0	7289	12298	0	37851	12995515	1056276	10134113	14104245	0	0	0	0	1758979	249393	1261620	2110570	0	0	0	0	46.71	7.98	26.52	55.97	1290259	263266	896869	1887344	0	0	0	0	43.30	10.95	40.00	79.63	76961151	26730595	50464816	159849708	0	0	0	0	0	0	0	0	0	0	0	0	0	59688000	825125	58296000	60816000	17177299	1371174	15761457	20947127	17192887	1331005	15823145	20839196	0	0	0	0	48690	1594	44484	51207
	4	APR	1380369699	1316668816	62844459	1204072019	1425329699	49.35	0.58	48.04	50.00	37754559	0	0	0	0	0	0	0	39969576	985203	38179299	41105009	3733294	533953	2813293	4692126	0	0	0	0	0	0	0	0	0	0	0	0	28146838	768323	26936314	29536389	0	0	0	0	0	0	0	0	0	0	0	0	6630590	1451337	4437888	8564994	0	0	0	0	1458854	190160	1073336	1741263	0	0	0	0	43.88	8.30	22.43	51.01	1380807	197490	1040533	1735444	0	0	0	0	43.33	11.06	40.00	80.00	63700883	20842486	42933441	128321181	0	0	0	0	0	0	0	0	0	0	0	0	0	56994000	796058	54864000	57792000	22216572	1483098	19354850	24429665	22164213	1479091	19328472	24372437	0	0	0	0	38535	2545	34821	42904
	5	MAY	1106125363	1060918251	141959953	806688079	1299319419	42.47	5.39	31.69	48.31	33704553	0	0	0	0	0	0	0	36316743	805424	35222547	38262827	4136803	703370	2415000	5014934	0	0	0	0	0	0	0	0	0	0	0	0	26889146	2712342	22068736	29158519	0	0	0	0	0	0	0	0	0	0	0	0	2395963	1355372	685647	5784754	0	0	0	0	1044760	328356	369741	1486283	0	0	0	0	44.96	9.82	19.61	54.90	1747491	340230	1085000	2253086	0	0	0	0	40.32	7.32	30.97	61.94	45207113	17190758	14789653	82000778	0	0	0	0	0	0	0	0	0	0	0	0	0	59286000	1595929	56208000	62232000	26608891	2709212	21215613	31279062	26642526	2702279	21276802	31280606	0	0	0	0	31096	3794	24447	36939
	6	JUN	949215010	914942860	41423192	863376670	999369425	38.60	2.12	35.65	42.81	30908380	0	0	0	0	0	0	0	30798083	868500	29801211	32454716	3972212	1030336	2831763	6433575	0	0	0	0	0	0	0	0	0	0	0	0	25550084	756697	24520623	26936200	0	0	0	0	0	0	0	0	0	0	0	0	413798	351760	40576	1132048	0	0	0	0	861988	273821	334511	1241069	0	0	0	0	58.02	7.52	41.70	68.13	2234370	579564	1592867	3618886	0	0	0	0	39.46	1.47	36.00	41.50	34272151	11338484	12016036	49642748	0	0	0	0	0	0	0	0	0	0	0	0	0	57390000	1078360	55104000	59352000	31426118	1419442	27899751	33392700	31411655	1418668	27881013	33337964	0	0	0	0	28816	901	27299	30199
	7	JUL	936112739	903822907	32007876	836775195	961607185	37.58	1.67	35.08	41.39	30685021	0	0	0	0	0	0	0	30287720	969673	28449679	31830999	3665182	997828	2462803	5650386	0	0	0	0	0	0	0	0	0	0	0	0	25434802	707378	23904457	26534438	0	0	0	0	0	0	0	0	0	0	0	0	272097	209260	2384	658037	0	0	0	0	915640	245570	418848	1268353	0	0	0	0	69.37	6.55	59.51	78.00	1805239	491467	1213022	2783026	0	0	0	0	35.06	4.41	30.00	40.00	32289832	10292777	14471225	50734126	0	0	0	0	0	0	0	0	0	0	0	0	0	59764000	841988	58392000	61656000	34057101	1361471	31882460	37749159	34040214	1349016	31868152	37685027	0	0	0	0	29463	500	28719	30197
	8	AUG	1038464137	1003499182	58106186	852414609	1081496043	41.04	1.99	37.18	43.95	33275518	0	0	0	0	0	0	0	32043640	803279	29876571	33219877	2774090	758452	1562000	4152295	0	0	0	0	0	0	0	0	0	0	0	0	27222471	1189287	23909017	28617477	0	0	0	0	0	0	0	0	0	0	0	0	1014254	409520	292331	1597687	0	0	0	0	1032825	321898	420466	1511853	0	0	0	0	74.70	7.40	65.46	86.55	1133079	309790	638000	1696008	0	0	0	0	33.37	4.69	30.00	40.00	34964955	12900365	12613974	60131154	0	0	0	0	0	0	0	0	0	0	0	0	0	59364000	914969	57240000	60504000	31127275	1233744	29758275	34123003	31157231	1227865	29782590	34127169	0	0	0	0	30608	1021	28078	32029
	9	SEP	1174658443	1131856660	43750932	1060207142	1199702788	46.97	1.38	43.96	49.19	35340929	0	0	0	0	0	0	0	34348299	798658	32857446	35670700	2113271	392335	1479135	2806944	0	0	0	0	0	0	0	0	0	0	0	0	27895704	669171	26978617	29103173	0	0	0	0	0	0	0	0	0	0	0	0	3110140	1003025	1982651	5109024	0	0	0	0	1229183	228903	850425	1744977	0	0	0	0	73.62	8.26	63.23	86.70	905688	168144	633915	1202976	0	0	0	0	34.62	4.75	30.00	40.00	42801783	11049394	25512762	69799069	0	0	0	0	0	0	0	0	0	0	0	0	0	57398000	920511	55920000	59304000	26392155	1542027	24456359	28806075	26374202	1542079	24426649	28784164	0	0	0	0	32651	1095	30756	34233
	10	OCT	1434683201	1385648133	206297584	760648949	1534848941	47.82	6.16	27.42	50.36	38659012	0	0	0	0	0	0	0	41302702	1420400	37765579	43168993	2254559	688820	1518000	3458873	0	0	0	0	0	0	0	0	0	0	0	0	28245767	3521572	16848000	30336000	0	0	0	0	0	0	0	0	1782	5909	0	21379	7938076	2062344	3419379	10654579	0	0	0	0	1376910	333802	819173	1886797	0	0	0	0	66.92	10.60	44.14	83.22	969307	263628	682000	1393687	0	0	0	0	33.87	7.09	16.45	40.00	49035068	16038682	24575191	75471884	0	0	0	0	0	0	0	0	0	0	0	0	0	59500000	1127525	57288000	60864000	21126376	2796634	13572621	25111296	21141752	2796232	13583778	25152224	0	0	0	0	40712	6387	21703	45642
	11	NOV	1660531045	1600918539	81763442	1470027342	1770461461	50.20	0.25	49.79	50.67	41607260	0	0	0	0	0	0	0	44742728	1065522	43606135	47847760	2478748	699416	1642721	3854811	0	0	0	0	0	0	0	0	0	0	0	0	28715033	633718	27792000	29472000	0	0	0	0	0	0	0	0	5723	7338	0	22699	11908691	1974894	8845468	15884911	0	0	0	0	1634533	285377	1139641	2205582	0	0	0	0	65.32	9.46	52.38	80.96	1113640	314230	738034	1731872	0	0	0	0	36.22	4.19	30.00	40.00	59612506	13762651	38290367	88223270	0	0	0	0	0	0	0	0	0	0	0	0	0	57660000	789785	56208000	58968000	17030553	1891472	14084336	20758134	17068765	1899110	14146105	20870046	0	0	0	0	45833	1512	42944	47939
	12	DEC	1778018351	1714282795	163403515	1297539175	1919179601	53.17	6.60	38.33	63.79	41998946	0	0	0	0	0	0	0	48584564	879904	47514696	50627478	3591579	991856	2185088	5012900	0	0	0	0	0	0	0	0	0	0	0	0	27554000	1741984	22272000	28968000	0	0	0	0	0	0	0	0	248337	335249	0	915756	14600517	2412033	10360383	17799983	0	0	0	0	1690493	315092	1225001	2442096	0	0	0	0	59.99	8.29	47.87	73.65	1497523	441279	936463	2148388	0	0	0	0	36.99	5.49	23.00	40.00	63735556	15048201	41952105	97683829	0	0	0	0	0	0	0	0	0	0	0	0	0	57580000	1155862	55992000	59616000	14031146	2319126	10644517	17502097	13977558	2302509	10648777	17478582	0	0	0	0	46582	2951	37223	48566
