C	area	id	monthly
	VARIABLES	BEGIN	END
	58	1	12

C	monthly		OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	BALANCE	BALANCE	LOAD	LOAD	H. ROR	H. ROR	WIND	WIND	SOLAR	SOLAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	COAL	COAL	GAS	GAS	OIL	OIL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. PUMP	H. PUMP	H. LEV	H. LEV	H. INFL	H. INFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	AVL DTG	AVL DTG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	NP COST	NP COST	NODU	NODU
			Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	MWh	MWh	%	%	Euro/MWh	Euro/MWh	Euro	Euro	MWh	MWh	MWh	MWh	Hours	Hours	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	 	 
	index	month	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max
	1	JAN	12	4	9	4	1	1	5	4	4	12	1	1	1	1	1	1	4	9	1	1	1	1	9	4	9	4	1	1	11	8	1	1	8	5	4	12	1	1	5	1	11	8	1	4	1	1	1	4	10	9	4	9	4	9	1	1	8	11
	2	FEB	10	1	10	9	1	1	10	1	4	10	1	1	1	1	1	1	8	2	1	1	1	1	10	9	10	8	1	1	4	5	1	1	8	6	4	10	1	1	1	8	4	5	1	1	1	1	1	1	10	1	9	10	9	10	1	1	10	5
	3	MAR	1	5	1	11	1	1	1	5	4	1	1	1	1	1	1	1	3	12	1	1	1	1	1	11	1	11	1	1	4	10	1	1	8	12	4	1	1	1	1	8	4	8	1	1	1	1	1	1	6	4	5	1	5	1	1	1	1	12
	4	APR	5	4	5	4	1	1	11	4	11	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	7	4	1	1	4	10	1	1	8	12	11	1	1	1	1	8	4	8	1	1	1	1	1	1	10	1	10	5	10	5	1	1	5	4
	5	MAY	8	11	8	11	1	1	5	9	11	10	1	1	1	1	1	1	8	2	1	1	1	1	1	1	8	11	1	1	7	10	1	1	8	12	11	10	1	1	3	8	7	8	1	1	1	1	1	1	6	2	7	2	7	2	1	1	8	11
	6	JUN	8	1	9	1	1	1	4	1	11	8	1	1	1	1	1	1	8	1	1	1	1	1	1	1	9	1	1	1	7	5	1	1	8	7	11	8	1	1	7	8	7	5	1	1	1	1	1	1	6	11	1	10	1	10	1	1	8	11
	7	JUL	5	3	5	3	1	1	4	10	7	5	1	1	1	1	1	1	5	3	1	1	1	1	1	1	5	3	1	1	11	8	1	1	8	7	7	5	1	1	6	3	11	8	1	1	1	1	1	1	11	5	11	5	11	5	1	1	1	12
	8	AUG	8	12	5	12	1	1	8	10	12	8	1	1	1	1	1	1	8	12	1	1	1	1	1	1	5	12	1	1	7	10	1	1	4	5	12	8	1	1	1	3	7	8	1	1	1	1	1	1	5	12	11	8	11	8	1	1	8	12
	9	SEP	10	7	10	12	1	1	4	5	12	5	1	1	1	1	1	1	7	1	1	1	1	1	1	1	10	7	1	1	11	8	1	1	8	5	12	5	1	1	1	3	11	8	1	1	1	1	1	1	9	1	7	10	7	10	1	1	8	7
	10	OCT	6	2	6	11	1	1	8	10	2	6	1	1	1	1	1	1	6	7	1	1	1	1	1	11	6	2	1	1	6	8	1	1	6	5	2	8	1	1	6	2	6	8	1	1	1	1	1	1	5	10	6	8	6	8	1	1	6	7
	11	NOV	8	9	8	9	1	1	4	9	2	8	1	1	1	1	1	1	2	3	1	1	1	1	4	9	8	9	1	1	11	8	1	1	8	6	2	8	1	1	5	2	11	8	1	1	1	1	1	1	2	8	11	8	11	8	1	1	8	9
	12	DEC	6	12	6	7	1	1	1	3	7	8	1	1	1	1	1	1	6	5	1	1	1	1	1	12	6	12	1	1	11	8	1	1	8	5	7	8	1	1	6	1	6	8	1	1	1	1	1	1	9	2	3	5	3	5	1	1	6	2
