C	area	va	daily
	VARIABLES	BEGIN	END
	122	1	364

C	daily			OV. COST	OP. COST	OP. COST	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	MRG. PRICE	MRG. PRICE	CO2 EMIS.	BALANCE	BALANCE	BALANCE	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	LOAD	LOAD	LOAD	H. ROR	H. ROR	H. ROR	H. ROR	WIND	WIND	WIND	WIND	SOLAR	SOLAR	SOLAR	SOLAR	NUCLEAR	NUCLEAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	LIGNITE	LIGNITE	COAL	COAL	COAL	COAL	GAS	GAS	GAS	GAS	OIL	OIL	OIL	OIL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. STOR	H. STOR	H. PUMP	H. PUMP	H. PUMP	H. PUMP	H. LEV	H. LEV	H. LEV	H. LEV	H. INFL	H. INFL	H. INFL	H. INFL	H. OVFL	H. OVFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. VAL	H. VAL	H. COST	H. COST	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	LOLD	LOLD	LOLP	AVL DTG	AVL DTG	AVL DTG	AVL DTG	DTG MRG	DTG MRG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	MAX MRG	MAX MRG	NP COST	NP COST	NP COST	NP COST	NODU	NODU	NODU	NODU
				Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Tons	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	%	%	MWh	MWh	MWh	MWh	%	%	%	%	Euro/MWh	Euro/MWh	Euro/MWh	Euro/MWh	Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Hours	Hours	Hours	Hours	%	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	Euro	Euro	 	 	 	 
	index	day	month	EXP	EXP	std	min	max	EXP	std	min	max	EXP	EXP	std	min	max	values	EXP	EXP	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	values	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max
	1	01	JAN	60511844	59300827	4711766	51019030	69043002	53.54	6.59	50.00	68.75	1463572	0	0	0	0	0	0	0	1611140	75224	1470227	1707884	106549	25652	75072	169344	0	0	0	0	0	0	0	0	0	0	0	0	966000	32680	888000	1008000	0	0	0	0	0	0	0	0	5838	15885	0	57198	500476	89791	314781	667744	0	0	0	0	32277	20305	2234	72312	0	0	0	0	60.80	10.00	47.87	76.20	45665	10995	32174	72581	0	0	0	0	37.50	4.33	30.00	40.00	1211017	776396	67020	2892480	0	0	0	0	0	0	0	0	0	0	0	0	0	1936000	58241	1848000	2088000	463686	114275	307058	765219	460871	107993	291436	741109	0	0	0	0	1555	73	1408	1658
	2	02	JAN	65344584	63008102	5128371	57294741	75413649	56.15	10.89	50.00	80.00	1503741	0	0	0	0	0	0	0	1709653	70346	1594946	1823830	106549	25652	75072	169344	0	0	0	0	0	0	0	0	0	0	0	0	964000	33705	888000	1008000	0	0	0	0	0	0	0	0	16448	36722	0	119171	559045	67450	444762	696000	0	0	0	0	63611	20522	25501	101328	0	0	0	0	60.78	9.93	48.15	76.33	45665	10995	32174	72581	0	0	0	0	37.50	4.33	30.00	40.00	2336482	670037	1020029	3951840	0	0	0	0	0	0	0	0	0	0	0	0	0	1940000	47833	1848000	2064000	400507	98253	216829	611238	406770	101942	203490	631278	0	0	0	0	1619	59	1535	1748
	3	03	JAN	69638097	65991920	5370032	60469112	80914640	60.42	12.03	50.00	80.00	1538278	0	0	0	0	0	0	0	1792954	61130	1698723	1917260	106550	25651	75072	169344	0	0	0	0	0	0	0	0	0	0	0	0	968000	37094	888000	1008000	0	0	0	0	0	0	0	0	33328	61651	0	217933	588914	43554	506074	648000	0	0	0	0	96162	21150	53329	131793	0	0	0	0	60.49	9.85	47.79	75.60	45665	10995	32174	72581	0	0	0	0	37.50	4.33	30.00	40.00	3646177	978244	1599870	5271720	0	0	0	0	0	0	0	0	0	0	0	0	0	1940000	49800	1872000	2064000	349758	95837	142067	549926	373076	104868	148826	582390	0	0	0	0	1648	59	1540	1784
	4	04	JAN	70470899	66569754	5403695	60765872	82670240	61.15	11.96	50.00	80.00	1542742	0	0	0	0	0	0	0	1809672	61386	1712311	1908985	106551	25654	75072	169356	0	0	0	0	0	0	0	0	0	0	0	0	966000	45033	864000	1008000	0	0	0	0	0	0	0	0	36827	67169	0	250378	596272	40651	509717	648000	0	0	0	0	104022	36580	64693	165968	0	0	0	0	59.94	9.87	46.79	74.45	45665	10995	32174	72581	0	0	0	0	37.50	4.33	30.00	40.00	3901145	1415599	1991490	6018320	0	0	0	0	0	0	0	0	0	0	0	0	0	1946000	59967	1848000	2064000	346901	102551	109622	546283	367848	111441	142271	583276	0	0	0	0	1660	80	1523	1872
	5	05	JAN	66423495	63431262	5189854	57145274	77930035	58.33	11.93	50.00	80.00	1502997	0	0	0	0	0	0	0	1729786	63848	1621758	1826625	106551	25654	75072	169356	0	0	0	0	0	0	0	0	0	0	0	0	958000	55821	816000	1008000	0	0	0	0	0	0	0	0	20840	58092	0	212125	564682	66672	437305	648000	0	0	0	0	79714	29588	40000	153971	0	0	0	0	59.47	9.93	45.68	74.01	45665	10995	32174	72581	0	0	0	0	37.50	4.33	30.00	40.00	2992233	1216079	1600000	6158827	0	0	0	0	0	0	0	0	0	0	0	0	0	1948000	69166	1824000	2064000	404479	114467	147875	618695	398830	114160	153661	620408	0	0	0	0	1642	77	1512	1821
	6	06	JAN	60859068	59213632	5354960	50577489	70842050	53.96	8.63	50.00	80.00	1457907	0	0	0	0	0	0	0	1616770	59735	1531275	1701879	106551	25654	75072	169356	0	0	0	0	0	0	0	0	0	0	0	0	962000	58344	816000	1008000	0	0	0	0	0	0	0	0	11602	38269	0	138526	492309	105729	305950	635543	0	0	0	0	44308	29854	1638	103759	0	0	0	0	59.27	9.89	45.02	73.72	45665	10995	32174	72581	0	0	0	0	37.50	4.33	30.00	40.00	1645437	1148133	65520	4150341	0	0	0	0	0	0	0	0	0	0	0	0	0	1958000	74270	1800000	2064000	492089	137404	221474	705632	469357	118705	211117	670846	0	0	0	0	1628	52	1536	1704
	7	07	JAN	59471406	58107797	5217307	52299254	72026198	53.65	8.35	50.00	80.00	1439320	0	0	0	0	0	0	0	1584317	55117	1485868	1706367	106551	25654	75072	169356	0	0	0	0	0	0	0	0	0	0	0	0	956000	58652	816000	1008000	0	0	0	0	0	0	0	0	14051	46516	0	168327	470475	90238	352191	600000	0	0	0	0	37241	28176	1641	83340	0	0	0	0	59.30	9.78	44.77	73.35	45665	10995	32174	72581	0	0	0	0	37.50	4.33	30.00	40.00	1363609	993786	65640	3074483	0	0	0	0	0	0	0	0	0	0	0	0	0	1946000	76184	1776000	2064000	505474	136883	191673	703809	486142	122067	185798	671496	0	0	0	0	1625	50	1536	1704
	8	08	JAN	61959485	60481320	5669894	52340328	76010640	54.69	9.04	50.00	80.00	1462833	0	0	0	0	0	0	0	1628023	44939	1565882	1710975	106551	25654	75072	169356	0	0	0	0	0	0	0	0	0	0	0	0	952000	65238	816000	1032000	0	0	0	0	0	0	0	0	21164	64030	0	233133	509363	87402	358007	643960	0	0	0	0	38944	17689	10770	71093	0	0	0	0	59.39	9.70	44.68	73.42	45665	10995	32174	72581	0	0	0	0	37.50	4.33	30.00	40.00	1478165	744870	430800	2843721	0	0	0	0	0	0	0	0	0	0	0	0	0	1936000	87270	1752000	2064000	453472	142021	126867	642087	435951	131316	119780	591993	0	0	0	0	1623	58	1488	1704
