C	area	de	monthly
	VARIABLES	BEGIN	END
	9	1	12

C	monthly		BASE	INT	PEAK	BASE	INT	PEAK	BASE	INT	PEAK
			MWh	MWh	MWh	NP Cost - Euro	NP Cost - Euro	NP Cost - Euro	NODU	NODU	NODU
	index	month	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP
	1	JAN	29560000	16730328	466056	0	0	0	29560	19783	595
	2	FEB	26526000	15156500	200837	0	0	0	26526	17909	266
	3	MAR	29507897	12995515	7289	0	0	0	29508	19173	9
	4	APR	28146838	6630590	0	0	0	0	28220	10316	0
	5	MAY	26889146	2395963	0	0	0	0	27762	3334	0
	6	JUN	25550084	413798	0	0	0	0	28278	539	0
	7	JUL	25434802	272097	0	0	0	0	29096	367	0
	8	AUG	27222471	1014254	0	0	0	0	29261	1348	0
	9	SEP	27895704	3110140	0	0	0	0	28303	4349	0
	10	OCT	28245767	7938076	1782	0	0	0	28278	12432	2
	11	NOV	28715033	11908691	5723	0	0	0	28716	17108	8
	12	DEC	27554000	14600517	248337	0	0	0	27554	18688	340
