C	area	de	hourly
	VARIABLES	BEGIN	END
	9	169	8736

C	hourly				BASE	INT	PEAK	BASE	INT	PEAK	BASE	INT	PEAK
					MWh	MWh	MWh	NP Cost - Euro	NP Cost - Euro	NP Cost - Euro	NODU	NODU	NODU
	index	day	month	hour	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP
	169	08	JAN	00:00	39333	22166	0	0	0	0	39	23	0
	170	08	JAN	01:00	39333	18538	0	0	0	0	39	23	0
	171	08	JAN	02:00	39333	18263	0	0	0	0	39	23	0
	172	08	JAN	03:00	39333	17457	0	0	0	0	39	23	0
	173	08	JAN	04:00	39333	17273	0	0	0	0	39	23	0
	174	08	JAN	05:00	39333	15696	0	0	0	0	39	23	0
	175	08	JAN	06:00	39333	17202	0	0	0	0	39	23	0
	176	08	JAN	07:00	39333	16393	0	0	0	0	39	23	0
	177	08	JAN	08:00	39333	16795	0	0	0	0	39	23	0
	178	08	JAN	09:00	39333	16662	0	0	0	0	39	23	0
	179	08	JAN	10:00	39333	17240	0	0	0	0	39	23	0
	180	08	JAN	11:00	39333	19325	0	0	0	0	39	23	0
	181	08	JAN	12:00	39333	19713	0	0	0	0	39	23	0
	182	08	JAN	13:00	39333	21884	0	0	0	0	39	24	0
	183	08	JAN	14:00	39333	21138	0	0	0	0	39	24	0
	184	08	JAN	15:00	39333	20952	0	0	0	0	39	24	0
	185	08	JAN	16:00	39333	23924	0	0	0	0	39	25	0
	186	08	JAN	17:00	39333	22883	0	0	0	0	39	25	0
	187	08	JAN	18:00	39333	22660	0	0	0	0	39	26	0
	188	08	JAN	19:00	39333	25328	0	0	0	0	39	26	0
	189	08	JAN	20:00	39333	24712	0	0	0	0	39	26	0
	190	08	JAN	21:00	39333	24105	0	0	0	0	39	26	0
	191	08	JAN	22:00	39333	24494	0	0	0	0	39	26	0
	192	08	JAN	23:00	39333	23194	0	0	0	0	39	26	0
	193	09	JAN	00:00	38667	24182	0	0	0	0	39	26	0
	194	09	JAN	01:00	38667	25244	516	0	0	0	39	27	1
	195	09	JAN	02:00	38667	24515	0	0	0	0	39	27	0
	196	09	JAN	03:00	38667	24533	318	0	0	0	39	27	0
	197	09	JAN	04:00	38667	23095	114	0	0	0	39	27	0
	198	09	JAN	05:00	38667	22532	0	0	0	0	39	27	0
	199	09	JAN	06:00	38667	19683	0	0	0	0	39	27	0
	200	09	JAN	07:00	38667	20687	0	0	0	0	39	27	0
	201	09	JAN	08:00	38667	23359	0	0	0	0	39	27	0
	202	09	JAN	09:00	38667	22155	0	0	0	0	39	27	0
	203	09	JAN	10:00	38667	23551	0	0	0	0	39	27	0
	204	09	JAN	11:00	38667	24616	0	0	0	0	39	27	0
	205	09	JAN	12:00	38667	23027	937	0	0	0	39	27	1
	206	09	JAN	13:00	38667	24429	552	0	0	0	39	27	1
	207	09	JAN	14:00	38667	26149	0	0	0	0	39	27	0
	208	09	JAN	15:00	38667	25717	0	0	0	0	39	27	0
	209	09	JAN	16:00	38667	26565	842	0	0	0	39	27	1
	210	09	JAN	17:00	38667	26059	344	0	0	0	39	27	0
	211	09	JAN	18:00	38667	26826	1429	0	0	0	39	27	2
	212	09	JAN	19:00	38667	25512	1853	0	0	0	39	27	2
	213	09	JAN	20:00	38667	26845	488	0	0	0	39	27	1
	214	09	JAN	21:00	38667	26403	812	0	0	0	39	27	2
	215	09	JAN	22:00	38667	26548	905	0	0	0	39	27	2
	216	09	JAN	23:00	38667	25520	881	0	0	0	39	27	2
	217	10	JAN	00:00	38889	26358	2998	0	0	0	39	27	3
	218	10	JAN	01:00	38889	25939	2235	0	0	0	39	27	2
	219	10	JAN	02:00	38889	25518	1131	0	0	0	39	27	1
	220	10	JAN	03:00	38889	25147	305	0	0	0	39	27	0
	221	10	JAN	04:00	38889	25225	507	0	0	0	39	27	1
	222	10	JAN	05:00	38889	24822	690	0	0	0	39	27	1
	223	10	JAN	06:00	38889	24700	86	0	0	0	39	27	0
	224	10	JAN	07:00	38889	23720	524	0	0	0	39	27	1
	225	10	JAN	08:00	38889	23028	32	0	0	0	39	27	0
	226	10	JAN	09:00	38889	23375	433	0	0	0	39	27	0
	227	10	JAN	10:00	38889	23689	1616	0	0	0	39	27	2
	228	10	JAN	11:00	38889	25702	479	0	0	0	39	27	1
	229	10	JAN	12:00	38889	23704	0	0	0	0	39	27	0
	230	10	JAN	13:00	38889	26542	2224	0	0	0	39	27	2
	231	10	JAN	14:00	38889	25637	2029	0	0	0	39	27	3
	232	10	JAN	15:00	38889	26578	3517	0	0	0	39	27	4
	233	10	JAN	16:00	38889	26520	4408	0	0	0	39	27	5
	234	10	JAN	17:00	38889	26968	3876	0	0	0	39	27	6
	235	10	JAN	18:00	38889	27174	3995	0	0	0	39	27	6
	236	10	JAN	19:00	38889	26483	4982	0	0	0	39	27	7
	237	10	JAN	20:00	38889	27025	4085	0	0	0	39	27	7
	238	10	JAN	21:00	38889	26593	4646	0	0	0	39	27	7
	239	10	JAN	22:00	38889	25766	3516	0	0	0	39	27	5
	240	10	JAN	23:00	38889	26594	2839	0	0	0	39	27	4
	241	11	JAN	00:00	39222	27060	1405	0	0	0	39	27	3
	242	11	JAN	01:00	39222	24856	2373	0	0	0	39	27	3
	243	11	JAN	02:00	39222	25281	581	0	0	0	39	27	1
	244	11	JAN	03:00	39222	24303	2061	0	0	0	39	27	2
	245	11	JAN	04:00	39222	24747	1347	0	0	0	39	27	1
	246	11	JAN	05:00	39222	24987	679	0	0	0	39	27	1
	247	11	JAN	06:00	39222	22932	685	0	0	0	39	27	1
	248	11	JAN	07:00	39222	23997	0	0	0	0	39	27	0
	249	11	JAN	08:00	39222	23877	324	0	0	0	39	27	0
	250	11	JAN	09:00	39222	22388	486	0	0	0	39	27	1
	251	11	JAN	10:00	39222	25308	794	0	0	0	39	27	1
	252	11	JAN	11:00	39222	23949	1172	0	0	0	39	27	1
	253	11	JAN	12:00	39222	25839	1813	0	0	0	39	27	3
	254	11	JAN	13:00	39222	24669	1717	0	0	0	39	27	2
	255	11	JAN	14:00	39222	25903	2091	0	0	0	39	27	2
	256	11	JAN	15:00	39222	26068	3582	0	0	0	39	27	4
	257	11	JAN	16:00	39222	25682	2083	0	0	0	39	27	4
	258	11	JAN	17:00	39222	27320	3450	0	0	0	39	27	4
	259	11	JAN	18:00	39222	27333	3793	0	0	0	39	27	5
	260	11	JAN	19:00	39222	26753	4049	0	0	0	39	27	6
	261	11	JAN	20:00	39222	26698	5721	0	0	0	39	27	6
	262	11	JAN	21:00	39222	26364	2038	0	0	0	39	27	5
	263	11	JAN	22:00	39222	27161	3971	0	0	0	39	27	5
	264	11	JAN	23:00	39222	26164	1900	0	0	0	39	27	3
	265	12	JAN	00:00	39444	24913	836	0	0	0	39	27	1
	266	12	JAN	01:00	39444	23295	951	0	0	0	39	27	1
	267	12	JAN	02:00	39444	23772	0	0	0	0	39	27	0
	268	12	JAN	03:00	39444	23077	743	0	0	0	39	27	1
	269	12	JAN	04:00	39444	21824	0	0	0	0	39	27	0
	270	12	JAN	05:00	39444	22837	0	0	0	0	39	27	0
	271	12	JAN	06:00	39444	20047	0	0	0	0	39	27	0
	272	12	JAN	07:00	39444	21642	0	0	0	0	39	27	0
	273	12	JAN	08:00	39444	20343	0	0	0	0	39	27	0
	274	12	JAN	09:00	39444	21083	526	0	0	0	39	27	1
