C	area	va	monthly
	VARIABLES	BEGIN	END
	122	1	12

C	monthly		OV. COST	OP. COST	OP. COST	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	MRG. PRICE	MRG. PRICE	CO2 EMIS.	BALANCE	BALANCE	BALANCE	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	LOAD	LOAD	LOAD	H. ROR	H. ROR	H. ROR	H. ROR	WIND	WIND	WIND	WIND	SOLAR	SOLAR	SOLAR	SOLAR	NUCLEAR	NUCLEAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	LIGNITE	LIGNITE	COAL	COAL	COAL	COAL	GAS	GAS	GAS	GAS	OIL	OIL	OIL	OIL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. STOR	H. STOR	H. PUMP	H. PUMP	H. PUMP	H. PUMP	H. LEV	H. LEV	H. LEV	H. LEV	H. INFL	H. INFL	H. INFL	H. INFL	H. OVFL	H. OVFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. VAL	H. VAL	H. COST	H. COST	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	LOLD	LOLD	LOLP	AVL DTG	AVL DTG	AVL DTG	AVL DTG	DTG MRG	DTG MRG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	MAX MRG	MAX MRG	NP COST	NP COST	NP COST	NP COST	NODU	NODU	NODU	NODU
			Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Tons	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	%	%	MWh	MWh	MWh	MWh	%	%	%	%	Euro/MWh	Euro/MWh	Euro/MWh	Euro/MWh	Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Hours	Hours	Hours	Hours	%	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	Euro	Euro	 	 	 	 
	index	month	EXP	EXP	std	min	max	EXP	std	min	max	EXP	EXP	std	min	max	values	EXP	EXP	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	values	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max
	1	JAN	1559489211	1496264856	57101091	1392876042	1604047918	57.23	3.59	52.24	64.22	35683405	0	0	0	0	0	0	0	40918102	1015030	39396399	42258584	2703705	766038	1432952	3976143	0	0	0	0	0	0	0	0	0	0	0	0	22842667	534718	21816000	23664000	0	0	0	0	0	0	0	0	342513	244808	76394	839270	13387410	966924	11654934	14937553	0	0	0	0	1641808	407036	1063430	2496355	0	0	0	0	58.28	7.48	45.54	72.12	1158722	328299	614135	1704060	0	0	0	0	38.91	2.56	31.82	40.00	63224355	12244965	42537191	80055491	0	0	0	0	0	0	0	0	0	0	0	0	0	46546667	732436	45600000	47544000	9974077	829709	8631085	11056449	10009367	842433	8641627	11126967	0	0	0	0	38942	816	37839	40445
	2	FEB	1722296239	1648827345	111943269	1487734014	1781941494	53.30	3.52	50.00	59.24	41005695	0	0	0	0	0	0	0	46056387	1077729	44297854	47637701	3166425	948329	2221849	4550000	0	0	0	0	0	0	0	0	0	0	0	0	27261333	527205	26424000	27936000	0	0	0	0	0	0	0	0	169512	205169	0	508656	13622395	1960402	10282016	15487999	0	0	0	0	1836722	413158	1203385	2689071	0	0	0	0	53.29	5.84	44.84	62.84	1357039	406427	952221	1950000	0	0	0	0	40.00	0	40.00	40.00	73468894	16526336	48135419	107562828	0	0	0	0	0	0	0	0	0	0	0	0	0	54760000	540341	53784000	55584000	13706760	2058119	11861985	16762502	13695211	2009884	11845757	16739559	0	0	0	0	45411	1012	43447	46780
	3	MAR	1761712006	1688778746	118118643	1443297429	1856650338	51.23	1.93	49.90	54.84	42872180	0	0	0	0	0	0	0	47471109	1566583	43840458	49295254	3205130	665401	2240841	4193947	0	0	0	0	0	0	0	0	0	0	0	0	29001697	721427	27624000	30408000	0	0	0	0	0	0	0	0	55727	101914	0	315112	13385223	2270265	8626706	16569627	0	0	0	0	1823332	364716	1136486	2372776	0	0	0	0	47.65	6.31	35.64	55.43	1246439	258767	871438	1630979	0	0	0	0	40.00	0	40.00	40.00	72933261	14588623	45459435	94911021	0	0	0	0	0	0	0	0	0	0	0	0	0	59024000	940468	56928000	60504000	16581352	2014079	13427261	19388091	16602314	2005064	13531015	19361448	0	0	0	0	47819	2321	41995	49925
	4	APR	1403022963	1341897238	75495158	1206067927	1466070724	49.69	0.51	48.54	50.58	37953161	0	0	0	0	0	0	0	40308287	1069474	38295143	41726351	3582001	801142	2752579	5034545	0	0	0	0	0	0	0	0	0	0	0	0	28013668	639373	27068846	29376178	0	0	0	0	0	0	0	0	1025	2900	0	9228	7226737	1700047	4287575	9682214	0	0	0	0	1484857	291164	874786	1777030	0	0	0	0	43.71	6.95	30.01	51.41	1324850	296313	1018077	1862092	0	0	0	0	41.25	3.53	40.00	51.23	61125725	13540441	34991440	81826513	0	0	0	0	0	0	0	0	0	0	0	0	0	57381333	1330621	55680000	59328000	22139904	2161589	19192561	26010448	22092976	2154005	19147384	25945201	0	0	0	0	39133	2897	34482	44998
	5	MAY	1163039533	1115353101	73337976	1002479844	1237456612	44.53	2.37	40.56	47.68	35735408	0	0	0	0	0	0	0	36533330	1278430	34265043	38175419	4437547	1177952	2415000	6008451	0	0	0	0	0	0	0	0	0	0	0	0	28655348	734576	27605252	29708476	0	0	0	0	0	0	0	0	0	0	0	0	2248319	1146496	553803	4150695	0	0	0	0	1192117	173459	777487	1374139	0	0	0	0	47.21	7.25	36.25	55.28	1993681	529225	1085000	2699449	0	0	0	0	40.00	0.00	40.00	40.01	47686432	6939907	31099476	54965572	0	0	0	0	0	0	0	0	0	0	0	0	0	59994667	1106477	58248000	61752000	29091000	2166779	25726966	32459063	29129462	2146763	25825691	32429273	0	0	0	0	32806	1514	30578	35774
	6	JUN	940412212	904643196	29289353	858135039	966734407	38.40	1.47	36.27	40.29	30500411	0	0	0	0	0	0	0	30807736	893645	28953608	31910900	4226910	808382	2831763	5434436	0	0	0	0	0	0	0	0	0	0	0	0	25185503	510699	24416648	26106246	0	0	0	0	0	0	0	0	0	0	0	0	463012	307315	71047	1060316	0	0	0	0	932311	181136	624024	1221309	0	0	0	0	58.65	7.94	48.91	69.83	2377637	454715	1592867	3056870	0	0	0	0	38.48	2.16	34.93	40.00	35769015	6662089	24960950	47352230	0	0	0	0	0	0	0	0	0	0	0	0	0	57573333	945791	56448000	59472000	31924818	1490009	29857438	34984305	31910164	1481574	29851785	34933024	0	0	0	0	28998	452	28221	29660
	7	JUL	934729289	896528852	51396562	833129473	986659682	37.49	1.92	35.00	40.77	30421428	0	0	0	0	0	0	0	30176103	1046046	28905746	31893840	3607374	455984	2814184	4190069	0	0	0	0	0	0	0	0	0	0	0	0	25209079	1072965	23803699	26911104	0	0	0	0	0	0	0	0	0	0	0	0	284222	321495	0	895421	0	0	0	0	1075428	168690	765467	1278545	0	0	0	0	69.64	7.53	61.51	81.64	1776766	224589	1386090	2063765	0	0	0	0	36.01	4.40	30.00	40.00	38200437	5599954	30618689	51141811	0	0	0	0	0	0	0	0	0	0	0	0	0	59685333	599567	58560000	60624000	34192033	1806868	31449475	36570854	34137148	1802764	31413765	36484032	0	0	0	0	29527	452	28821	30241
	8	AUG	1020717692	984995657	42339320	906975426	1052607759	40.60	1.85	37.68	43.43	32750416	0	0	0	0	0	0	0	31517894	1062780	29081790	32525313	2729200	745428	1744830	4304307	0	0	0	0	0	0	0	0	0	0	0	0	26833934	679702	25292245	27599093	0	0	0	0	0	0	0	0	0	0	0	0	916160	426048	255722	1732790	0	0	0	0	1038600	191320	797095	1359374	0	0	0	0	73.85	8.10	65.70	86.39	1114744	304471	712677	1758097	0	0	0	0	34.44	4.97	30.00	40.00	35722035	8336972	23912837	54374964	0	0	0	0	0	0	0	0	0	0	0	0	0	59717333	979520	57408000	60888000	31967240	1731004	29093887	34200818	32033114	1729214	29188763	34283435	0	0	0	0	30583	579	29448	31206
	9	SEP	1131146567	1086752982	45658963	1010446615	1152833004	44.95	2.02	42.00	48.17	34495837	0	0	0	0	0	0	0	33659819	749756	32518270	34706415	2386432	567412	1631919	3290400	0	0	0	0	0	0	0	0	0	0	0	0	27506155	562200	26133393	28241763	0	0	0	0	0	0	0	0	0	0	0	0	2480751	696219	1331095	3711452	0	0	0	0	1286481	189484	925715	1573166	0	0	0	0	73.18	8.88	63.62	88.33	1022756	243176	699394	1410171	0	0	0	0	34.74	4.77	30.00	40.00	44393585	7354128	37028618	62926631	0	0	0	0	0	0	0	0	0	0	0	0	0	57669333	931610	55752000	58896000	27682427	1588659	24404537	29959050	27649855	1579176	24407878	29907550	0	0	0	0	31892	897	30575	33281
	10	OCT	1462074134	1407861301	100125188	1227374153	1517239091	49.50	0.80	47.74	50.00	39480203	0	0	0	0	0	0	0	41191791	1348138	39454728	43677839	2805613	1051577	1518000	4485000	0	0	0	0	0	0	0	0	0	0	0	0	28956240	667552	27737692	30015328	0	0	0	0	0	0	0	0	0	0	0	0	7887858	2238368	3913870	10672588	0	0	0	0	1542079	227259	1140622	1943373	0	0	0	0	70.23	8.88	59.62	83.77	1260493	472447	682000	2015000	0	0	0	0	35.56	4.97	30.00	40.00	54212833	7891947	45624868	71892606	0	0	0	0	0	0	0	0	0	0	0	0	0	59357333	1280889	57192000	61128000	22513235	2697705	18416278	27713540	22501659	2664204	18411059	27603392	0	0	0	0	41090	3494	35299	45067
	11	NOV	1627697358	1565666046	49075791	1471983566	1632854240	50.27	0.72	49.79	52.21	41452527	0	0	0	0	0	0	0	44876732	785881	44058721	46611621	3122171	1027754	1587000	4485000	0	0	0	0	0	0	0	0	0	0	0	0	29059935	485242	28056000	29568000	0	0	0	0	0	0	0	0	8519	22613	0	72365	10957736	1077139	8746422	12381301	0	0	0	0	1728371	271918	1213533	2091271	0	0	0	0	67.39	8.96	56.07	80.45	1402715	461744	713000	2015000	0	0	0	0	36.25	4.56	30.00	40.00	62031312	9565324	48541331	83650856	0	0	0	0	0	0	0	0	0	0	0	0	0	58034667	704040	57024000	59232000	18008477	1524144	15786331	20659793	18062405	1509048	15869591	20704118	0	0	0	0	46185	1514	42702	48057
	12	DEC	1666326159	1604143275	195832934	1343801929	1883137919	48.72	6.18	38.33	56.33	39803023	0	0	0	0	0	0	0	48834061	1002513	47215458	49871537	3497615	855441	2206681	5012900	0	0	0	0	0	0	0	0	0	0	0	0	26410667	3288479	21600000	29688000	0	0	0	0	0	0	0	0	180832	224071	0	610318	13306068	2101289	10879046	16510079	0	0	0	0	1682445	275138	1305207	2173305	0	0	0	0	58.51	8.54	48.44	77.90	1408458	404307	945718	2148388	0	0	0	0	34.37	6.63	23.00	40.00	62182884	11257112	41944066	83413161	0	0	0	0	0	0	0	0	0	0	0	0	0	58234667	800968	56640000	59520000	13721100	2828596	10933561	18952954	13678748	2807093	10916621	18866295	0	0	0	0	43965	4818	36773	48884
