C	area	de	weekly
	VARIABLES	BEGIN	END
	9	2	52

C	weekly	BASE	INT	PEAK	BASE	INT	PEAK	BASE	INT	PEAK
		MWh	MWh	MWh	NP Cost - Euro	NP Cost - Euro	NP Cost - Euro	NODU	NODU	NODU
	week	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP
	2	6578667	3874169	132524	0	0	0	6579	4482	180
	3	6682667	3890831	81423	0	0	0	6683	4581	107
	4	6680000	3934129	75781	0	0	0	6680	4628	109
	5	6789333	3692201	112031	0	0	0	6789	4476	146
	6	6808000	3332564	32496	0	0	0	6808	4512	47
	7	6829333	3258751	9184	0	0	0	6829	4486	15
	8	6829333	3541102	54803	0	0	0	6829	4447	80
	9	6725333	3266975	20977	0	0	0	6725	4407	29
	10	6506667	3259124	32408	0	0	0	6507	4368	49
	11	6392000	3275851	13546	0	0	0	6392	4490	18
	12	6596364	2744813	2579	0	0	0	6597	4038	3
	13	6635418	2557827	0	0	0	0	6637	3773	0
	14	6687760	2029469	0	0	0	0	6688	3125	0
	15	6468752	1883720	1025	0	0	0	6472	2830	1
	16	6409972	1647791	0	0	0	0	6413	2580	0
	17	6570211	1326245	0	0	0	0	6581	1998	0
	18	6550744	761478	0	0	0	0	6696	1100	0
	19	6594356	488905	0	0	0	0	6814	685	0
	20	6420201	544177	0	0	0	0	6624	746	0
	21	6344849	387387	0	0	0	0	6666	513	0
	22	6302094	207343	0	0	0	0	6665	281	0
	23	6032027	220629	0	0	0	0	6604	292	0
	24	5749077	98005	0	0	0	0	6636	132	0
	25	5747886	63196	0	0	0	0	6606	92	0
	26	5764796	47057	0	0	0	0	6607	69	0
	27	5721597	67653	0	0	0	0	6564	94	0
	28	5552098	78350	0	0	0	0	6493	113	0
	29	5700083	82845	0	0	0	0	6555	108	0
	30	5863157	52904	0	0	0	0	6668	78	0
	31	5933400	83488	0	0	0	0	6782	116	0
	32	5882539	82582	0	0	0	0	6766	106	0
	33	5919642	78036	0	0	0	0	6598	106	0
	34	6123278	286858	0	0	0	0	6438	394	0
	35	6327384	434935	0	0	0	0	6522	590	0
	36	6301074	273363	0	0	0	0	6607	392	0
	37	6471473	462947	0	0	0	0	6741	644	0
	38	6552220	608924	0	0	0	0	6701	783	0
	39	6465597	1087605	0	0	0	0	6501	1605	0
	40	6395596	1443658	0	0	0	0	6424	2160	0
	41	6458605	1819876	0	0	0	0	6475	2671	0
	42	6550302	1796985	0	0	0	0	6557	2847	0
	43	6664957	1988750	0	0	0	0	6669	3081	0
	44	6770714	1929254	0	0	0	0	6776	3211	0
	45	6826667	2191098	0	0	0	0	6827	3730	0
	46	6770667	2513732	0	0	0	0	6771	4070	0
	47	6781333	2821588	0	0	0	0	6781	4301	0
	48	6706667	3103926	8931	0	0	0	6707	4218	14
	49	6824000	3100262	6129	0	0	0	6824	4240	7
	50	6632000	3580556	68371	0	0	0	6632	4445	93
	51	6589333	3665336	60556	0	0	0	6589	4595	87
	52	4456000	2196639	45364	0	0	0	4456	2918	61
